Res.	Record	Opponent	Method	Round	Time	Location
Loss	14-13-3	Tatsunao Nagakura	TKO (punches)	1	3:35	Tokyo , Japan
Loss	14-12-3	Kazunori Yokota	Decision (unanimous)	3	5:00	Tokyo , Japan
Draw	14-11-3	Kosuke Kindaichi	Draw	2	5:00	Saitama , Japan
Win	14-11-2	Yusuke Yachi	Decision (unanimous)	2	5:00	Tokyo , Japan
Loss	13-11-2	Gustavo Falciroli	KO (punches)	1	1:53	Joondalup , Australia
Loss	13-10-2	Taiki Tsuchiya	Decision (unanimous)	3	5:00	Tokyo , Japan
Loss	13-9-2	Nam Phan	TKO (punches)	1	3:09	Tokyo , Japan
Loss	13-8-2	Takeshi Inoue	Decision (unanimous)	3	5:00	Tokyo , Japan
Win	13-7-2	Akitoshi Tamura	Decision (majority)	3	5:00	Tokyo , Japan
Win	12-7-2	Rumina Sato	Submission (rear naked choke)	1	4:09	Tokyo , Japan
Loss	11-7-2	Akiyo Nishiura	Decision (split)	3	5:00	Tokyo , Japan
Win	11-6-2	Daisuke Ishizawa	Decision (unanimous)	2	5:00	Tokyo , Japan
Win	10-6-2	Adrian Pang	Decision (unanimous)	3	5:00	Australia
Draw	9-6-2	Miki Shida	Draw	3	5:00	Tokyo , Japan
Loss	9-6-1	Hatsu Hioki	Submission (armbar)	2	3:34	Nagoya , Japan
Win	9-5-1	Akitoshi Tamura	Decision (unanimous)	2	5:00	Tokyo , Japan
Loss	8-5-1	Alexandre Franca Nogueira	Submission (guillotine choke)	1	3:34	Tokyo , Japan
Loss	8-4-1	Naoya Uematsu	Submission (guillotine choke)	1	0:45	Chiba , Japan
Win	8-3-1	Bao Quach	Submission (rear naked choke)	3	4:40	Chiba , Japan
Win	7-3-1	Denisas Archirejevas	Submission (armbar)	1	3:45	Tokyo , Japan
Win	6-3-1	Makoto Ishikawa	Decision (unanimous)	3	5:00	Tokyo , Japan
Loss	5-3-1	Tetsuo Katsuta	Decision (unanimous)	3	5:00	Tokyo , Japan
Win	5-2-1	Hiroshi Komatsu	Decision (unanimous)	2	5:00	Tokyo , Japan
Win	4-2-1	Masahi Kameda	Submission (rear naked choke)	1	2:23	Tokyo , Japan
Loss	3-2-1	Eiji Murayama	Decision (39-38)	2	5:00	Tokyo , Japan
Win	3-1-1	Naoya Miyamoto	Submission (rear naked choke)	1	2:12	Tokyo , Japan
Loss	2-1-1	Norifumi Yamamoto	TKO (punches)	1	4:02	Tokyo , Japan
Draw	2-0-1	Koji Takeuchi	Draw	2	5:00	Tokyo , Japan
Win	2-0	Takuhito Hida	Decision (unanimous)	2	5:00	Tokyo , Japan
Win	1-0	Takashi Ohuchi	Submission (rear naked choke)	1	4:10	Tokyo , Japan
