Week	Date	Time	Opponent	Result	Game site	Record
1	September 4, 2008	7:00 P.M.	Washington Redskins	W 16–7	Giants Stadium	1–0
2	September 14, 2008	1:00 P.M.	at St. Louis Rams	W 41–13	Edward Jones Dome	2–0
3	September 21, 2008	1:00 P.M.	Cincinnati Bengals	W 26–23 OT	Giants Stadium	3–0
4	Bye week	Bye week	Bye week	Bye week	Bye week	Bye week
5	October 5, 2008	1:00 P.M.	Seattle Seahawks	W 44–6	Giants Stadium	4–0
6	October 13, 2008	8:30 P.M.	at Cleveland Browns	L 35–14	Cleveland Browns Stadium	4–1
7	October 19, 2008	1:00 P.M.	San Francisco 49ers	W 29–17	Giants Stadium	5–1
8	October 26, 2008	4:15 P.M.	at Pittsburgh Steelers	W 21–14	Heinz Field	6–1
9	November 2, 2008	4:15 P.M.	Dallas Cowboys	W 35–14	Giants Stadium	7–1
10	November 9, 2008	8:15 P.M.	at Philadelphia Eagles	W 36–31	Lincoln Financial Field	8–1
11	November 16, 2008	1:00 P.M.	Baltimore Ravens	W 30–10	Giants Stadium	9–1
12	November 23, 2008	4:15 P.M.	at Arizona Cardinals	W 37–29	University of Phoenix Stadium	10–1
13	November 30, 2008	1:00 P.M.	at Washington Redskins	W 23–7	FedExField	11–1
14	December 7, 2008	1:00 P.M.	Philadelphia Eagles	L 20–14	Giants Stadium	11–2
15	December 14, 2008	8:15 P.M.	at Dallas Cowboys	L 20–8	Texas Stadium	11–3
16	December 21, 2008	8:15 P.M.	Carolina Panthers	W 34–28 OT	Giants Stadium	12–3
17	December 28, 2008	1:00 P.M.	at Minnesota Vikings	L 20–19	Hubert H. Humphrey Metrodome	12–4
