Outcome	Date	Tournament	Surface	Partner	Opponents in the final	Score in the final
Runner-ups	November 4, 1988	Melbourne , Australia ITF $10,000	Hard	Kristin Godridge	Natalia Leipus Bernadette Randall-Marshall	4–6, 7–6 (7–5) , 2–6
Winners	April 9, 1989	Bari , Italy ITF $10,000	Clay	Marion Maruska	Andrea Noszály Eva Maria Schuerhoff	W/O
Winners	June 14, 1992	Modena , Italy ITF $25,000	Clay	Ruxandra Dragomir	Alexandra Fusai Nathalie Tschan	6–3, 7–6 (7–5)
Runner-ups	August 4, 1992	Vaihingen , Germany ITF $25,000	Clay	Joannette Kruger	Eva Martincová Pavlína Rajzlová	4–6, 0–6
Runner-ups	November 15, 1992	Manchester , United Kingdom ITF $25,000	Carpet (I)	Nathalie Tschan	Elena Likhovtseva Elena Makarova	3–6, 4–6
Winners	November 22, 1992	Nottingham , United Kingdom ITF $25,000	Carpet (I)	Els Callens	Ruxandra Dragomir Irina Spîrlea	7–6 (7–3) , 6–4
Winners	April 11, 1993	Limoges , France ITF $25,000	Carpet (I)	Silvia Farina Elia	Stephanie Reece Danielle Scott	6–2, 6–7 (5–7) , 6–2
Winners	April 11, 1993	Poitiers , France ITF $25,000	Hard	Olga Lugina	Els Callens Nancy Feber	6–4, 3–6, 6–3
Winners	December 11, 1994	Cergy-Pontoise , France ITF $50,000	Hard (I)	Angelique Olivier	Kateřina Šišková Eva Melicharová	6–1, 6–4
Winners	October 29, 1995	Lakeland , FL, USA ITF $50,000	Hard	Eva Martincová	Sandra Cacic Tracey Rodgers	1–6, 6–2, 6–1
Runner-ups	December 3, 1995	Limoges , France ITF $50,000	Hard	Eva Martincová	Eva Melicharová Helena Vildová	3–6, 6–0, 4–6
Winners	October 29, 1997	Makarska , Croatia ITF $75,000	Clay	Olga Lugina	Maria Goloviznina Evgenia Kulikovskaya	5–7, 7–5, 7–5
Runner-ups	April 26, 1998	Prostějov , Czech Republic ITF $75,000	Clay	Olga Lugina	Lenka Cenková Kateřina Šišková	4–6, 6–4, 4–6
