Discipline	2003 Cadiz	2007 Cascais	2011 Perth	2014 Santander
Single Person Dinghy Women	Europe	Laser Radial	Laser Radial	Laser Radial
Single Person Dinghy Men	Finn	Laser	Laser	Laser
Single Person Dinghy Men's Heavy	N/A	N/A	Finn	Finn
Single Person Dinghy Open	Laser	Finn	N/A	N/A
Double Person Dinghy Women	470	470	470	470
Double Person Dinghy Men	470	470	470	470
Double Person Dinghy Men High Performance	N/A	N/A	49er	49er
Double Person Dinghy Women High Performance	N/A	N/A	N/A	49er FX
Double Person Skiff	N/A	49er	N/A	N/A
Double Person Dinghy Open	49er	N/A	N/A	N/A
Multihull Open	Tornado	Tornado	N/A	N/A
Multihull Mixed	N/A	N/A	N/A	Nacra 17
Windsurfer Men	Mistral One Design	RS:X	RS:X	RS:X
Windsurfer Women	Mistral One Design	RS:X	RS:X	RS:X
Keelboat Men	Star	Star	Star	N/A
Keelboat Women	Yngling	Yngling	N/A	N/A
Keelboat - Women's Match Racing	N/A	N/A	Elliott 6m	N/A
