Year	Award	Category	Title	Result
1999	Sundance Film Festival	Best Director	Pi	Won
1999	Sundance Film Festival	Grand Jury Prize	Pi	Nominated
1999	Independent Spirit Awards	Best First Screenplay	Pi	Won
1999	Independent Spirit Awards	Best First Feature	Pi	Nominated
2001	Independent Spirit Awards	Best Film	Requiem for a Dream	Nominated
2001	Independent Spirit Awards	Best Director	Requiem for a Dream	Nominated
2006	Venice Film Festival	Golden Lion	The Fountain	Nominated
2008	Venice Film Festival	Golden Lion	The Wrestler	Won
2009	Independent Spirit Award	Best Film	The Wrestler	Won
2009	London Critics Circle Film Awards	Best Film	The Wrestler	Won
2009	London Critics Circle Film Awards	Best Director	The Wrestler	Won
2009	National Board of Review	Best Film	The Wrestler	Nominated
2010	Venice Film Festival	Golden Lion	Black Swan	Nominated
2010	Critics' Choice Awards	Best Director	Black Swan	Nominated
2010	Independent Spirit Awards	Best Director	Black Swan	Won
2010	Independent Spirit Awards	Best Film	Black Swan	Won
2010	Gotham Awards	Best Film	Black Swan	Nominated
2010	Chicago Film Critics Association	Best Director	Black Swan	Nominated
2010	San Francisco Film Critics Circle Awards	Best Director	Black Swan	Won
2010	Satellite Award	Best Director	Black Swan	Nominated
2010	Toronto Film Critics Association	Best Director	Black Swan	Nominated
2010	Vancouver Film Critics Circle	Best Director	Black Swan	Nominated
2010	Washington D.C. Area Film Critics Association	Best Director	Black Swan	Nominated
2011	British Academy of Film and Television Arts	Best Direction	Black Swan	Nominated
2011	Golden Globe Award	Best Director	Black Swan	Nominated
2011	Academy Awards	Best Director	Black Swan	Nominated
2011	Scream Awards	Best Director	Black Swan	Won
