Entrant	Constructor	Chassis	Engine	Tyre	Driver	Rounds
Officine Alfieri Maserati	Maserati	A6GCM	Maserati A6 2.0 L6	P	Juan Manuel Fangio	1, 3–9
Officine Alfieri Maserati	Maserati	A6GCM	Maserati A6 2.0 L6	P	José Froilán González	1, 3–6
Officine Alfieri Maserati	Maserati	A6GCM	Maserati A6 2.0 L6	P	Felice Bonetto	1, 3, 5–9
Officine Alfieri Maserati	Maserati	A6GCM	Maserati A6 2.0 L6	P	Oscar Gálvez	1
Officine Alfieri Maserati	Maserati	A6GCM	Maserati A6 2.0 L6	P	Johnny Claes	4
Officine Alfieri Maserati	Maserati	A6GCM	Maserati A6 2.0 L6	P	Onofre Marimón	4–9
Officine Alfieri Maserati	Maserati	A6GCM	Maserati A6 2.0 L6	P	Hermann Lang	8
Officine Alfieri Maserati	Maserati	A6GCM	Maserati A6 2.0 L6	P	Sergio Mantovani	9
Officine Alfieri Maserati	Maserati	A6GCM	Maserati A6 2.0 L6	P	Luigi Musso	9
Scuderia Ferrari	Ferrari	500 553	Ferrari 500 2.0 L4 Ferrari 553 2.0 L4	P	Alberto Ascari	1, 3–9
Scuderia Ferrari	Ferrari	500 553	Ferrari 500 2.0 L4 Ferrari 553 2.0 L4	P	Nino Farina	1, 3–9
Scuderia Ferrari	Ferrari	500 553	Ferrari 500 2.0 L4 Ferrari 553 2.0 L4	P	Luigi Villoresi	1, 3–9
Scuderia Ferrari	Ferrari	500 553	Ferrari 500 2.0 L4 Ferrari 553 2.0 L4	P	Mike Hawthorn	1, 3–9
Scuderia Ferrari	Ferrari	500 553	Ferrari 500 2.0 L4 Ferrari 553 2.0 L4	P	Umberto Maglioli	9
Scuderia Ferrari	Ferrari	500 553	Ferrari 500 2.0 L4 Ferrari 553 2.0 L4	P	Piero Carini	9
Cooper Car Company	Cooper - Bristol Cooper - Alta	T20 T23 T21	Bristol BS1 2.0 L6 Alta GP 2.5 L4	D	Alan Brown	1
Cooper Car Company	Cooper - Bristol Cooper - Alta	T20 T23 T21	Bristol BS1 2.0 L6 Alta GP 2.5 L4	D	John Barber	1
