Player	Position	Date of Birth (Age)	Caps	Club/province
Eusebio Guiñazú	Hooker	15 January 1982	12	Agen
Mario Ledesma	Hooker	17 May 1973	59	Clermont
Alberto Vernet Basualdo	Hooker	8 June 1982	4	Alumni
Marcos Ayerza	Prop	12 January 1983	13	Leicester
Santiago González Bonorino	Prop	5 May 1975	13	Capitolina
Omar Hasan	Prop	21 April 1971	58	Toulouse
Rodrigo Roncero	Prop	16 February 1977	20	Stade Français
Martín Scelzo	Prop	5 February 1976	34	Clermont
Patricio Albacete	Lock	9 February 1981	18	Toulouse
Rimas Álvarez Kairelis	Lock	22 July 1974	31	Perpignan
Ignacio Fernández Lobbe	Lock	20 November 1974	57	Sale
Esteban Lozada	Lock	8 January 1982	4	CASI
Martín Alberto Durand	Flanker	30 May 1976	49	Montpellier
Lucas Ostiglia	Flanker	3 May 1976	27	Agen
Juan Martín Fernández Lobbe	Flanker	19 November 1981	14	Sale
Martín Schusterman	Flanker	13 September 1975	15	Leeds
Juan Manuel Leguizamón	Number 8	6 June 1983	16	London Irish
Gonzalo Longo	Number 8	14 March 1974	44	Clermont
Nicolás Fernández Miranda	Scrum-half	25 November 1972	41	Hindú
Agustín Pichot ( c )	Scrum-half	22 August 1974	65	Stade Français
Juan Martín Hernández	Fly-half	7 August 1982	21	Stade Français
Federico Todeschini	Fly-half	8 August 1975	15	Montpellier
Felipe Contepomi ( vc )	Centre	20 August 1977	51	Leinster
Manuel Contepomi	Centre	20 August 1977	30	Newman
Hernán Senillosa	Centre	1 October 1977	16	Hindú
Gonzalo Tiesi	Centre	24 April 1985	10	London Irish
Horacio Agulla	Wing	22 October 1984	5	Hindú
Lucas Borges	Wing	17 February 1980	18	Stade Français
Federico Martín Aramburú	Wing	20 January 1980	12	Perpignan
Ignacio Corleto	Fullback	21 June 1978	29	Stade Français
Federico Serra Miras	Fullback	3 October 1979	7	SIC
