LB&SC Number	Built	S.R. Number	Withdrawal	Notes
11	Cannot handle non-empty timestamp argument! 1907	2011	Cannot handle non-empty timestamp argument! 1933	I2
12	Cannot handle non-empty timestamp argument! 1908	2012	Cannot handle non-empty timestamp argument! 1935	I2
13	Cannot handle non-empty timestamp argument! 1908	2013	Cannot handle non-empty timestamp argument! 1939	I2, became W.D. 72400 Earl Roberts
14	Cannot handle non-empty timestamp argument! 1908	2014	Cannot handle non-empty timestamp argument! 1933	I2
15	Cannot handle non-empty timestamp argument! 1908	2015	Cannot handle non-empty timestamp argument! 1936	I2
16	Cannot handle non-empty timestamp argument! 1908	2016	Cannot handle non-empty timestamp argument! 1933	I2
17	Cannot handle non-empty timestamp argument! 1908	2017	Cannot handle non-empty timestamp argument! 1938	I2
18	Cannot handle non-empty timestamp argument! 1908	2018	Cannot handle non-empty timestamp argument! 1936	I2
19	Cannot handle non-empty timestamp argument! 1908	2019	Cannot handle non-empty timestamp argument! 1937	I2, became W.D. 72401
20	Cannot handle non-empty timestamp argument! 1908	2020	Cannot handle non-empty timestamp argument! 1936	I2
31	Cannot handle non-empty timestamp argument! 1908	2031	Cannot handle non-empty timestamp argument! 1936	I4
32	Cannot handle non-empty timestamp argument! 1908	2032	Cannot handle non-empty timestamp argument! 1937	I4
33	Cannot handle non-empty timestamp argument! 1908	2033	Cannot handle non-empty timestamp argument! 1937	I4
34	Cannot handle non-empty timestamp argument! 1908	2034	Cannot handle non-empty timestamp argument! 1940	I4
35	Cannot handle non-empty timestamp argument! 1909	2035	Cannot handle non-empty timestamp argument! 1937	I4
