Place	Player	Country	Score	To par	Money ( $ )
1	Ralph Guldahl	United States	71-69-72-69=281	+1	1,000
2	Sam Snead	United States	69-73-70-71=283	+3	800
3	Bobby Cruickshank	Scotland	73-73-67-72=285	+5	700
4	Harry Cooper	England United States	72-70-73-71=286	+6	600
5	Ed Dudley	United States	70-70-71-76=287	+7	450
6	Al Brosch	United States	74-73-68-73=288	+8	375
7	Clarence Clark	United States	72-75-73-69=289	+9	275
8	Johnny Goodman (a)	United States	70-73-72-75=290	+10	0
9	Frank Strafaci (a)	United States	70-72-77-72=291	+11	0
T10	Charles Kocsis (a)	United States	72-73-76-71=292	+12	0
T10	Henry Picard	United States	71-75-72-74=292	+12	175
T10	Gene Sarazen	United States	78-69-71-74=292	+12	175
T10	Denny Shute	United States	69-76-75-72=292	+12	175
