Frequency (in Kuala Lumpur , Selangor , Putrajaya and environs)	Station	Operator	Language	Genre	Coverage Area
87.7MHz	Radio Klasik	RTM	Malay	Music	Nationwide
88.1MHz	One FM	Media Prima	Mandarin Cantonese	Talk , Music	Nationwide
88.5MHz	Nasional FM	RTM	Malay	Music	Nationwide
89.3MHz	Ai FM	RTM	Mandarin Various Chinese dialects	Music Talk	Nationwide
90.3MHz	TraXX FM	RTM	English	Music Talk	Nationwide
90.7MHz	Putra FM	Universiti Putra Malaysia	Malay English	Music Talk	Kajang Serdang Seri Kembangan Putrajaya
91.5MHz	IKIM.fm	Institute of Islamic Studies Malaysia	Arabic English Arabic	Music Talk	Nationwide
92.3MHz	Minnal FM	RTM	Tamil	Music Talk	Nationwide
92.9MHz	Hitz.fm	AMP Radio Networks	English	Music Talk	Nationwide
93.6MHz	UFM	Universiti Teknologi MARA	English Malay	Music Talk	Klang Petaling Jaya Shah Alam
93.9MHz	Radio24	Bernama	Malay, English	News , music	Kuala Lumpur
94.5MHz	Mix FM	AMP Radio Networks	English	Talk , Music	Nationwide
95.3MHz	Nasional FM	RTM	Malay	Music	Klang Valley
95.8MHz	Fly FM	Media Prima	English, Malay	Talk , music	Peninsular Malaysia
96.3MHz	Minnal FM	RTM	Tamil	Talk , music	Nationwide
96.7MHz	Sinar FM	AMP Radio Networks	Malay	Talk , music	Nationwide
97.2MHz	KLFM	RTM	Malay	Talk , music	Selangor & Kuala Lumpur
97.6MHz	Hot FM	Media Prima	Malay	Talk , music	Nationwide
98.3MHz	Klasik Nasional FM (alternative frequency)	RTM	Malay	Music	Nationwide
98.8MHz	988 FM	STAR Rfm Sdn.Bhd ( The Star )	Chinese (Cantonese)	Talk , music	Peninsular Malaysia
100.1MHz	TraXX FM (alternative frequency)	RTM	English	Talk , music	Klang Valley
100.9MHz	Selangor FM	RTM	Malay	Talk , music	Selangor & Kuala Lumpur only
101.8MHz	MY FM	AMP Radio Networks	Chinese (Cantonese)	Talk , music	Nationwide
103.0MHz	Melody FM	AMP Radio Networks	Chinese	music	Klang Valley
103.3MHz	Era FM	AMP Radio Networks	Malay	Talk , music	Nationwide
104.9MHz	Red FM	STAR Rfm Sdn.Bhd ( The Star )	English, Malay	Talk , music	Peninsular Malaysia
105.3MHz	Suria FM	STAR Rfm Sdn.Bhd ( The Star )	Malay	Talk , music	Nationwide except Sarawak
105.7MHz	LiteFM	AMP Radio Networks	English	Music	Nationwide
106.7MHz	Ai FM (alternative frequency)	RTM	Chinese	Talk , music	Pahang, Selangor & Kuala Lumpur
90.2MHz	Pi Mai FM	Copyright Laureate Sdn Bhd	Malay	Talk , music	Penang , Malaysia
101.3MHz	UFM 101.3	Copyright Laureate Sdn Bhd	Malay	Talk , music	Klang Valley , Malaysia
