Candidate	Background	Original team	Age	Hometown	Result
Andrew "Morello" Morello	Auctioneer	Pinnacle	23	Melbourne, Victoria	Hired by Bouris
Heather Williams	Advertising Sales Consultant	Eventus	31	Maylands, Western Australia	Fired 2nd in Finale
Gavin McInnes	Lawyer	Pinnacle	33	Brisbane, Queensland	Fired 1st in Finale
Mary-Anne Lowe	Business Owner	Eventus	30	Melbourne, Victoria	Fired in week 9
Sabrina Houssami	University Student and Miss World Australia 2006	Eventus	23	Sydney, New South Wales	Fired in week 8
Samuel "Sam" Hooper	Law Student	Pinnacle	19	Adelaide, South Australia	Fired in week 7
Carmen Parnos	Bankrupt. Former Entrepreneur	Eventus	44	Melbourne, Victoria	Fired in week 6
John van Yzerloo	Unemployed	Pinnacle	44	Romsey, Victoria	Fired in week 5
Blake Chandler	Customer Service Manager	Pinnacle	28	Central Coast, New South Wales	Fired in week 4
Amy Cato	Business Owner	Eventus	25	Adelaide, South Australia	Fired in week 3
Lynton Pipkorn	Marketing Consultant	Pinnacle	30	Melbourne, Victoria	Fired in week 2
