Position	Team	Points	Played	Drawn	Lost	Against	Difference
1	Corinthians	85	38	10	3	29	50
2	Santo André	68	38	11	8	45	26
3	Avaí	67	38	13	7	40	31
4	Barueri	63	38	3	15	55	3
5	Ponte Preta	58	38	7	14	46	8
6	Vila Nova	58	38	7	14	55	2
7	Bragantino	57	38	9	13	41	6
8	Juventude	56	38	8	14	48	3
9	São Caetano	54	38	12	12	55	6
10	Bahia	52	38	10	14	65	- 18
11	Paraná	49	38	7	17	54	- 5
12	Ceará	49	38	13	12	50	2
13	ABC	48	38	12	14	57	- 2
14	Brasiliense	47	38	8	17	64	- 8
15	América de Natal	46	38	10	16	51	- 5
16	Fortaleza	45	38	9	17	56	0
17	Marília	45	38	12	15	60	- 13
18	Criciúma	41	38	8	19	54	- 14
19	Gama	35	38	8	21	72	- 35
20	CRB	24	38	9	24	72	- 37
