Game	Date	Opponent	Score	First Star	Decision	Location	Attendance	Record	Points
26	December 2	Pittsburgh Penguins	2-3	S. Crosby	O. Pavelec	Consol Energy Center	18223	13-10-3	29
27	December 4	Washington Capitals	3-1	O. Pavelec	O. Pavelec	Verizon Center	18398	14-10-3	31
28	December 6	Nashville Predators	3-2 OT	Z. Bogosian	O. Pavelec	Philips Arena	10024	15-10-3	33
29	December 10	Colorado Avalanche	2-4	M. Duchene	O. Pavelec	Philips Arena	14034	15-11-3	33
30	December 11	New York Islanders	5-4	J. Oduya	C. Mason	Nassau Coliseum	10056	16-11-3	35
31	December 13	Ottawa Senators	4-3 OT	B. Little	O. Pavelec	Scotiabank Place	18184	17-11-3	37
32	December 15	Tampa Bay Lightning	1-2 SO	S. Bergenheim	O. Pavelec	St. Pete Times Forum	14441	17-11-4	38
33	December 16	Carolina Hurricanes	2-3 SO	S. Samsonov	C. Mason	Philips Arena	11043	17-11-5	39
34	December 18	New Jersey Devils	7-1	E. Boulton	O. Pavelec	Philips Arena	17024	18-11-5	41
35	December 20	Toronto Maple Leafs	6-3	T. Enstrom	O. Pavelec	Air Canada Centre	19301	19-11-5	43
36	December 21	St. Louis Blues	2-4	A. Steen	C. Mason	Philips Arena	14662	19-12-5	43
37	December 23	Boston Bruins	1-4	S. Thornton	O. Pavelec	TD Garden	17565	19-13-5	43
38	December 26	Tampa Bay Lightning	2-3 OT	V. Lecavalier	O. Pavelec	Philips Arena	14610	19-13-6	44
39	December 28	Pittsburgh Penguins	3-6	S. Crosby	O. Pavelec	Consol Energy Center	18322	19-14-6	44
40	December 30	Boston Bruins	3-2 SO	T. Enstrom	O. Pavelec	Philips Arena	17624	20-14-6	46
