Race	Race Title	Circuit	City / State	Date	Winner	Team
1	Lakeside	Lakeside International Raceway	Brisbane , Queensland	17–18 Apr	Paul Morris	Paul Morris Motorsport
2	Lakeside	Lakeside International Raceway	Brisbane, Queensland	17–18 Apr	Patrick Watts	Starion Enterprises
1	Oran Park	Oran Park Raceway	Sydney , New South Wales	1–2 May	Jim Richards	Volvo Cars Australia
2	Oran Park	Oran Park Raceway	Sydney, New South Wales	1–2 May	Jim Richards	Volvo Cars Australia
1	Mallala	Mallala Motor Sport Park	Adelaide , South Australia	29–30 May	Paul Morris	Paul Morris Motorsport
2	Mallala	Mallala Motor Sport Park	Adelaide, South Australia	29–30 May	Paul Morris	Paul Morris Motorsport
1	Winton	Winton Motor Raceway	Benalla , Victoria	19–20 Jun	Brad Jones	Brad Jones Racing
2	Winton	Winton Motor Raceway	Benalla, Victoria	19–20 Jun	Paul Morris	Paul Morris Motorsport
3	Winton	Winton Motor Raceway	Benalla, Victoria	19–20 Jun	Jim Richards	Volvo Cars Australia
1	Oran Park	Oran Park Raceway	Sydney, New South Wales	17–18 Jul	Paul Morris	Paul Morris Motorsport
2	Oran Park	Oran Park Raceway	Sydney, New South Wales	17–18 Jul	Paul Morris	Paul Morris Motorsport
3	Oran Park	Oran Park Raceway	Sydney, New South Wales	17–18 Jul	Paul Morris	Paul Morris Motorsport
1	Queensland Raceway	Queensland Raceway	Ipswich , Queensland	31 Jul – 1 Aug	Jim Richards	Volvo Cars Australia
2	Queensland Raceway	Queensland Raceway	Ipswich, Queensland	31 Jul – 1 Aug	Paul Morris	Paul Morris Motorsport
3	Queensland Raceway	Queensland Raceway	Ipswich, Queensland	31 Jul – 1 Aug	Jim Richards	Volvo Cars Australia
1	Oran Park	Oran Park Raceway	Sydney, New South Wales	14–15 Aug	Paul Morris	Paul Morris Motorsport
2	Oran Park	Oran Park Raceway	Sydney, New South Wales	14–15 Aug	Jim Richards	Volvo Cars Australia
3	Oran Park	Oran Park Raceway	Sydney, New South Wales	14–15 Aug	Jim Richards	Volvo Cars Australia
1	Calder	Calder Park Raceway	Melbourne , Victoria	28–29 Aug	Jim Richards	Volvo Cars Australia
2	Calder	Calder Park Raceway	Melbourne, Victoria	28–29 Aug	Jim Richards	Volvo Cars Australia
3	Calder	Calder Park Raceway	Melbourne, Victoria	28–29 Aug	Jim Richards	Volvo Cars Australia
