Position	Nationality	Name	League apps	League goals	FA Cup apps	FA Cup goals	Total apps	Total goals
FW	Scotland	Jack Angus Category:Articles with hCards	13	6	4	4	17	10
FB	England	Charles Baker Category:Articles with hCards	15	6	4	6	19	12
GK	England	Jack Barrett Category:Articles with hCards	4	0	1	0	5	0
GK	England	Walter Cox Category:Articles with hCards	0	0	2	0	2	0
FW	England	Jack Dorkin Category:Articles with hCards	3	3	1	1	4	4
HB	England	Bill Furby Category:Articles with hCards	5	0	2	0	7	0
FB	Wales	David Hamer Category:Articles with hCards	3	0	3	0	6	0
FW	England	Fred Hollands Category:Articles with hCards	15	3	5	2	20	5
FB	England	William Jeffrey Category:Articles with hCards	13	0	2	0	15	0
HB	England	Alf Littlehales Category:Articles with hCards	16	0	5	1	21	1
FB	England	George Marshall Category:Articles with hCards	14	0	5	0	19	0
FW	England	Arthur Nineham Category:Articles with hCards	7	4	2	5	9	9
FW	England	Harry Offer Category:Articles with hCards	13	4	5	6	18	10
FW	England	Joe Rogers Category:Articles with hCards	7	1	0	0	7	1
HB	England	Ernie Taylor Category:Articles with hCards	11	0	3	1	14	1
HB	England	Lachie Thomson Category:Articles with hCards	15	1	5	1	20	2
FW	England	A. Ward Category:Articles with hCards	1	0	0	0	1	0
FW	England	Herbert Ward Category:Articles with hCards	9	6	4	5	13	11
