Name	Position	Height	Weight	Year	Home Town
Cole Aldrich	Center	6–11	245	Sophomore	Bloomington, MN
Tyrone Appleton	Guard	6–3	190	Junior	Midland, Texas
Brennan Bechard	Guard	6–0	183	Senior	Lawrence, KS
Chase Buford	Guard	6–3	200	Sophomore	San Antonio, Texas
Sherron Collins	Guard	5–11	200	Junior	Chicago, IL
Jordan Juenemann	Guard	6–4	195	Freshman	Hays, KS
Matt Kleinmann	Center	6–10	247	Senior	Overland Park, KS
Mario Little	Forward	6–5	210	Junior	Marianna, FL
Brady Morningstar	Guard	6–3	185	Sophomore	Lawrence, KS
Marcus Morris	Forward	6–8	230	Freshman	Pennsauken, NJ
Markieff Morris	Forward	6–9	220	Freshman	Pennsauken, NJ
Tyrel Reed	Guard	6–3	180	Sophomore	Burlington, KS
Travis Releford	Guard	6–5	190	Freshman	Shawnee Mission, KS
Tyshawn Taylor	Guard	6–3	160	Freshman	Jersey City, NJ
Conner Teahan	Guard	6–5	200	Sophomore	Leawood, KS
Quintrell Thomas	Forward	6–8	225	Freshman	Elizabeth, NJ
