#	Episode	Air Date	Rating	Share	18–49 (Rating/Share)	Viewers (m)	Weekly Rank
1	"A Love of a Lifetime"	September 24, 2007	5.8	9	3.5/9	9.16	43
2	"Friendly Skies"	October 1, 2007	5.3	9	3.2/8	8.23	50
3	"Game Three"	October 8, 2007	4.4	7	2.9/7	6.94	61
4	"The Year of the Rabbit"	October 15, 2007	4.3	7	2.7/7	6.75	67
5	"The Legend of Dylan McCleen"	October 22, 2007	3.8	6	2.4/6	6.06	72
6	"Keepers"	October 29, 2007	3.7	6	2.2/6	5.75	71
7	"Double Down"	November 5, 2007	3.4	6	2.1/5	5.13	80
8	"Winterland"	November 12, 2007	4.0	7	2.4/6	6.09	70
9	"Emily"	November 19, 2007	3.7	6	2.2/6	5.61	66
10	"Blowback"	November 26, 2007	3.7	6	2.4/6	6.05	68
11	"Home By Another Way"	December 10, 2007	3.5	6	1.7/5	5.28	62
12	"The Hanged Man"	December 17, 2007	3.0	5	1.5/4	4.24	65
