Series Ep.	Episode	Netflix	Segment A	Segment B	Segment C	Segment D
17-01	209	S09E01	Decorative Sombreros	Salad Dressings & Marinades	Cap Guns	Regenerative Medicine
17-02	210	S09E02	Cheese Graters	Hot Sauce	Silver Jewellery	al Tradition Mexican s Chair
17-03	211	S09E03	Game Calls	Mayonnaise	Traditional Razor Blades	Butterfly Safety Razors
17-04	212	S09E04	Corn Tortillas	Crankshafts & s Camshaft	Bush Planes	Aluminium Bike Wheels
17-05	213	S09E05	Folding Kayaks	Piñatas	Garbage Trucks	Ceramic Composite Brake Discs
17-06	214	S09E06	Rolled Wafers	Wood Pellets	Class & Championship Rings (Part 1)	Class & Championship Rings (Part 2)
17-07	215	S09E07	Speed Skates	Synthetic Rubber	Cocoa Beans	Bulk Chocolate
17-08	216	S09E08	Custom Steering Wheels	Aerospace Fuel Lines	Apple Pies	Household Radiators
17-09	217	S09E09	s Whip	Automatic Pizza Makers	Incense Cones	Model Jet Engines
17-10	218	S09E10	Heather Gems	Instant Film	Beet Sugar	Electric Roadsters
17-11	219	S09E11	Underwater Robots	Lasagne	Band Saws	Ski and Trekking Poles
17-12	220	S09E12	Laminated Wood Beams	Sport Utility Vehicles	Veggie Burgers	Wood Boring Augers
17-13	221	S09E13	Turbochargers	Enchiladas	Watches (Part 1)	Watches (Part 2)
