State	Type	Name	Title	Royal house	From
Cai	Sovereign	Wu	Marquis	Ji	863 BC
Cai	Sovereign	Yi	Marquis	Ji	837 BC
Cao	Sovereign	Yi	Count	—	864 BC
Cao	Sovereign	You	Count	—	835 BC
Chen	Sovereign	You	Duke	—	854 BC
Chen	Sovereign	Li	Duke	—	831 BC
Chu	Sovereign	Xiong Yong	Viscount	Mi	846 BC
Chu	Sovereign	Xiong Yan the younger	Viscount	Mi	837 BC
Jin	Sovereign	Xi	Marquis	Ji	840 BC
Lu	Sovereign	Shen	Duke	Ji	854 BC
Qi	Sovereign	Wu	Duke	Jiang	850 BC
Qin	Sovereign	Qin Zhong	Ruler	Ying	845 BC
Song	Sovereign	Xi	Duke	—	858 BC
Song	Sovereign	Hui	Duke	—	830 BC
Wey	Sovereign	Li	Marquis	—	855 BC
Yan	Sovereign	Hui	Marquis	—	864 BC
