Region	Host	Venue	City	State
East	Clemson University	Littlejohn Coliseum	Clemson	South Carolina
East	Florida State University	Tully Gymnasium	Tallahassee	Florida
East	Old Dominion University	Old Dominion University Fieldhouse	Norfolk	Virginia
East	University of Maryland	Cole Field House	College Park	Maryland
East	Providence College	Alumni Hall (Providence)	Providence	Rhode Island
East	University of Connecticut	Harry A. Gampel Pavilion	Storrs	Connecticut
East	University of Tennessee	Thompson-Boling Arena	Knoxville	Tennessee
East	University of Virginia	University Hall (University of Virginia)	Charlottesville	Virginia
Mideast	DePaul University	Alumni Hall (DePaul University)	Chicago	Illinois
Mideast	University of South Carolina	Carolina Coliseum	Columbia	South Carolina
Mideast	Tennessee Tech	Eblen Center	Cookeville	Tennessee
Mideast	Vanderbilt University	Memorial Gymnasium (Vanderbilt University)	Nashville	Tennessee
Mideast	Auburn University	Memorial Coliseum (Beard–Eaves–Memorial Coliseum)	Auburn	Alabama
Mideast	Northwestern University	Welsh-Ryan Arena	Evanston	Illinois
Mideast	University of Iowa	Carver–Hawkeye Arena	Iowa City	Indiana
Mideast	University of Washington	Hec Edmundson Pavilion	Seattle	Washington
Midwest	Northern Illinois University	Chick Evans Field House	DeKalb	Illinois
Midwest	Ohio State University	St. John Arena	Columbus	Ohio
Midwest	University of Southern Mississippi	Reed Green Coliseum	Hattiesburg	Mississippi
Midwest	Oklahoma State University	Gallagher-Iba Arena	Stillwater	Oklahoma
Midwest	Louisiana Tech University	Thomas Assembly Center	Ruston	Louisiana
Midwest	North Carolina State University	Reynolds Coliseum	Raleigh	North Carolina
Midwest	University of Texas	Frank Erwin Center	Austin	Texas
Midwest	Purdue University	Mackey Arena	West Lafayette	Indiana
West	Long Beach State	University Gym (Gold Mine)	Long Beach	California
West	University of Mississippi	Tad Smith Coliseum	University, Mississippi	Mississippi
West	University of Montana	Dahlberg Arena	Missoula	Montana
West	University of Arkansas	Barnhill Arena	Fayetteville	Arkansas
West	University of Georgia	Georgia Coliseum (Stegeman Coliseum)	Athens	Georgia
West	Stanford University	Maples Pavilion	Stanford	California
West	University of Nevada, Las Vegas	South Gym	Paradise	Nevada
West	Stephen F. Austin University	William R. Johnson Coliseum	Nacogdoches	Texas
