Date From	Date To	Position	Name	From
2008-07-11	2008-01-11	GK	Darren Randolph	Charlton Athletic
2008-07-16	2009-01-05	DF	Robbie Threlfall	Liverpool
2008-08-05	2009-01-03	FW	Moses Ashikodi	Watford
2008-09-01	2009-05-04	FW	Andy Williams	Bristol Rovers
2008-09-25	2008-11-25	DF	Bruno N'Gotty	Leicester City
2008-11-12	2008-12-12	GK	Matt Murray	Wolverhampton Wanderers
2008-11-20	2009-01-22	MF	Lionel Ainsworth	Watford
2008-11-27	2009-01-21	GK	Chris Weale	Bristol City
2008-11-27	2009-05-04	DF	Josh Gowling	Carlisle United
2009-01-05	2009-04-05	MF	Sam Hewson	Manchester United
2009-01-23	2009-02-23	MF	Jennison Myrie-Williams	Bristol City
2009-02-02	2009-05-04	GK	Péter Gulácsi	Liverpool
2009-02-03	2009-03-03	FW	Febian Brandy	Manchester United
2009-02-17	2009-03-17	DF	Godwin Antwi	Liverpool
2009-03-13	2009-04-13	DF	Darren Dennehy	Cardiff City
2009-03-26	2009-05-04	MF	Marc Pugh	Shrewsbury Town
