Name	Team	Qual 1	Qual 2	Best
Sébastien Bourdais	Newman/Haas Racing	1:44.637	1:43.046	1:43.046
Ryan Hunter-Reay	Herdez Competition	1:43.909	1:43.995	1:43.909
Jimmy Vasser	PKV Racing	—	1:43.374	1:43.374
Bruno Junqueira	Newman/Haas Racing	1:44.529	1:43.606	1:43.606
Patrick Carpentier	Forsythe Racing	1:44.076	1:43.753	1:43.753
Paul Tracy	Forsythe Racing	1:46.382	1:43.933	1:43.933
A. J. Allmendinger	RuSPORT	1:44.972	1:44.058	1:44.058
Oriol Servià	Dale Coyne Racing	1:45.077	1:44.105	1:44.105
Justin Wilson	Mi-Jack Conquest Racing	1:45.034	1:44.463	1:44.463
Rodolfo Lavín	Forsythe Racing	1:45.269	1:44.663	1:44.663
Michel Jourdain, Jr.	RuSPORT	1:45.377	1:44.708	1:44.708
Mario Haberfeld	Walker Racing	1:45.773	1:45.074	1:45.074
Alex Tagliani	Rocketsports Racing	—	1:45.172	1:45.172
Roberto González	PKV Racing	1:45.674	1:45.361	1:45.361
Mario Domínguez	Herdez Competition	1:45.496	1:47.701	1:45.496
Guy Smith	Rocketsports Racing	1:47.948	1:46.025	1:46.025
Alex Sperafico	Mi-Jack Conquest Racing	1:46.742	1:46.321	1:46.321
Gastón Mazzacane	Dale Coyne Racing	1:46.878	1:47.042	1:46.878
