No.	#	Title	Directed by	Written by	Patient Portrayer	Original air date	Production code
14	1	"Erica Noughton"	Ryan Murphy	Ryan Murphy	Vanessa Redgrave	June22,2004	177601
15	2	"Christian Troy"	Jamie Babbit	Sean Jablonski	Julian McMahon	June29,2004	177602
16	3	"Manya Mabika"	Elodie Keene	Lyn Greene & Richard Levine	Aisha Tyler	July6,2004	177603
17	4	"Mrs. Grubman"	Jamie Babbit	Jennifer Salt	Ruth Williamson	July13,2004	177604
18	5	"Joel Gideon"	Nelson McCormick	Brad Falchuk	Doug Savant	July20,2004	177605
19	6	"Bobbi Broderick"	Michael M. Robin	Lyn Greene & Richard Levine	Jill Clayburgh	July27,2004	177606
20	7	"Naomi Gaines"	Craig Zisk	Sean Jablonski	Leslie Bibb	August3,2004	177607
21	8	"Agatha Ripp"	Michael M. Robin	Ryan Murphy	Sarah Paulson	August10,2004	177608
22	9	"Rose and Raven Rosenberg"	Elodie Keene	Ryan Murphy & Brad Falchuk	Lori and Reba Schappell	August17,2004	177609
23	10	"Kimber Henry"	Nelson McCormick	Jennifer Salt	Kelly Carlson	August24,2004	177610
24	11	"Natasha Charles"	Greer Shephard	Lyn Greene & Richard Levine	Rebecca Gayheart	August31,2004	177611
25	12	"Julia McNamara"	Michael M. Robin	Ryan Murphy & Brad Falchuk	Joely Richardson	September7,2004	177612
26	13	"Oona Wentworth"	Scott Brazil	Sean Jablonski & Jennifer Salt	Brooks Almy	September14,2004	177613
27	14	"Trudy Nye"	Elodie Keene	Hank Chilton	Lisa Waltz	September21,2004	177614
28	15	"Sean McNamara"	Michael M. Robin	Brad Falchuk	Dylan Walsh	September28,2004	177615
