Class	Wheel arrangement	Fleet number(s)	Manufacturer	Serial numbers	Year made	Quantity made	Quantity preserved
4-6-0 — ooOOO — Ten-Wheeler	4-6-0 — ooOOO — Ten-Wheeler	4-6-0 — ooOOO — Ten-Wheeler	4-6-0 — ooOOO — Ten-Wheeler	4-6-0 — ooOOO — Ten-Wheeler	4-6-0 — ooOOO — Ten-Wheeler	4-6-0 — ooOOO — Ten-Wheeler	4-6-0 — ooOOO — Ten-Wheeler
E	4-6-0	390–398	Baldwin	6392…7021	1882	9	0
E-1	4-6-0	360–364	Manchester	1407–1411	1888	5	0
E-2	4-6-0	370–383	Baldwin	9691…9704	1888	14	0
E-3	4-6-0	330–358	Baldwin	10182…11301	1889–1890	29	0
E-4	4-6-0	388–389	Rhode Island	2432–2433	1890	2	0
E-5	4-6-0	386–387	Schenectady	4072–4073	1893	2	0
E-6	4-6-0	365	Rhode Island	2337	1890	1	0
E-7	4-6-0	366–368	Cooke	2223–2225	1892	3	0
E-8	4-6-0	369	Baldwin	11280	1890	1	0
P	4-6-0	250–258, 270–278	Schenectady	4542…4726	1897–1898	18	0
P-1	4-6-0	207–218, 226–236	Schenectady Alco ( Schen. )	5122…5931, 25660…25841	1899–1902	23	0
P-2	4-6-0	240–249	Schenectady Alco ( Schen. )	5716…5929, 25657…25842	1901–1902	10	0
P-3	4-6-0	1400–1419	Schenectady Alco ( Rich. )	5916–5925, 25662–25671	1901–1902	20	0
R	4-6-0	170–189	Schenectady	4535…4593	1897	20	0
S	4-6-0	153–168	Schenectady	4727…4899	1898	16	0
S-1	4-6-0	134–147	Schenectady	5134…5147	1899	14	0
S-2	4-6-0	104–133	Schenectady	5473…5612	1900	30	0
S-3	4-6-0	1300–1323	Schenectady Alco ( Schen. )	5907–5915, 25650…25840	1901–1902	24	0
S-4	4-6-0	1350–1399	Baldwin	20273…20662	1907	40	4
S-10	4-6-0	320–329	Alco ( Rogers )	37575–37584	1907	10	1
S-11	4-6-0	150–152	Grant	1766–1768	1888	3	0
