Title	Bugs , Daffy , or Both?	Year	Director	Series
14 Carrot Rabbit	Bugs	1952	Friz Freleng	LT
Ali Baba Bunny	Both	1957	Chuck Jones	MM
Buccaneer Bunny	Bugs	1948	Friz Freleng	LT
Bugs' Bonnets	Bugs	1956	Chuck Jones	MM
A Star Is Bored	Both	1956	Friz Freleng	LT
A Pest in the House	Daffy	1947	Chuck Jones	MM
Transylvania 6-5000	Bugs	1963	Chuck Jones	MM
Oily Hare	Bugs	1952	Robert McKimson	MM
Stupor Duck	Daffy	1956	Robert McKimson	LT
The Stupor Salesman	Daffy	1948	Arthur Davis	LT
The Abominable Snow Rabbit	Both	1961	Chuck Jones	LT
The Super Snooper	Daffy	1952	Robert McKimson	LT
Up-Standing Sitter, The	Daffy	1948	Robert McKimson	LT
Hollywood Daffy	Daffy	1946	Friz Freleng - uncredited	MM
You Were Never Duckier *	Daffy	1948	Chuck Jones	MM
