Date	Visitor	Score	Home	Decision	Attendance	Record
October 5	St. Louis	1 – 5	Detroit	Legace	20,066	1–0–0
October 6	Detroit	4 – 3	St. Louis	Legace	15,318	2–0–0
October 9	Calgary	3 – 6	Detroit	Legace	20,066	3–0–0
October 10	Vancouver	4 – 2	Detroit	Legace	20,066	3–1–0
October 13	Detroit	5 – 2	Los Angeles	Legace	18,118	4–1–0
October 15	Detroit	2 – 0	Phoenix	Legace	17,799	5–1–0
October 17	San Jose	2 – 3	Detroit	Legace	20,066	6–1–0
October 21	Anaheim	2 – 3	Detroit	Legace	20,066	7–1–0
October 22	Detroit	6 – 0	Columbus	Legace	18,136	8–1–0
October 24	Detroit	6 – 2	Columbus	Legace	16,098	9–1–0
October 27	Chicago	2 – 5	Detroit	Legace	20,066	10–1–0
October 29	Detroit	4 – 2	Chicago	Osgood	20,658	11–1–0
