Year	League	Reg. Season	Playoffs	Owner(s)	Avg. Attendance
1990/91	NPSL	3rd, American	Semifinals	N/A	4031
1991/92	NPSL	3rd, American	Champions	N/A	3416
1992/93	NPSL	6th, American	Did not qualify	Michael & Marian llitch	3369
1993/94	NPSL	2nd, National	2nd Round	Michael & Marian llitch	5201
1994/95	NPSL	4th, National	1st Round	Michael & Marian llitch	4331
1995/96	NPSL	5th, National	Did not qualify	Michael & Marian llitch	4526
1996/97	NPSL	3rd, National North	Did not qualify	N/A	5101
1997/98	NPSL	4th, National North	Did not qualify	N/A	5408
1998/99	NPSL	3rd, National North	Did not qualify	N/A	5458
1999/00	NPSL	3rd, National North	Did not qualify	N/A	4098
