District	Incumbent	Party	First elected	Result	Candidates
Texas 1	Wright Patman	Democratic	1928	Re-elected	Wright Patman (D) Unopposed
Texas 2	Martin Dies, Jr.	Democratic	1930	Re-elected	Martin Dies, Jr. (D) Unopposed
Texas 3	Morgan G. Sanders	Democratic	1920	Re-elected	Morgan G. Sanders (D) Unopposed
Texas 4	Sam Rayburn	Democratic	1912	Re-elected	Sam Rayburn (D) Unopposed
Texas 5	Hatton W. Sumners	Democratic	1914	Re-elected	Hatton W. Sumners (D) Unopposed
Texas 6	Luther A. Johnson	Democratic	1922	Re-elected	Luther A. Johnson (D) Unopposed
Texas 7	Clark W. Thompson	Democratic	1933	Retired Democratic hold	Nat Patton (D) Unopposed
Texas 8	Joe H. Eagle	Democratic	1933	Re-elected	Joe H. Eagle (D) Unopposed
Texas 9	Joseph J. Mansfield	Democratic	1916	Re-elected	Joseph J. Mansfield (D) Unopposed
Texas 10	James P. Buchanan	Democratic	1912	Re-elected	James P. Buchanan (D) Unopposed
Texas 11	Oliver H. Cross	Democratic	1928	Re-elected	Oliver H. Cross (D) Unopposed
Texas 12	Fritz G. Lanham	Democratic	1919	Re-elected	Fritz G. Lanham (D) Unopposed
Texas 13	William D. McFarlane	Democratic	1932	Re-elected	William D. McFarlane (D) Unopposed
Texas 14	Richard M. Kleberg	Democratic	1931	Re-elected	Richard M. Kleberg (D) Unopposed
Texas 15	Milton H. West	Democratic	1933	Re-elected	Milton H. West (D) Unopposed
Texas 16	R. Ewing Thomason	Democratic	1930	Re-elected	R. Ewing Thomason (D) Unopposed
Texas 17	Thomas L. Blanton	Democratic	1930	Re-elected	Thomas L. Blanton (D) Unopposed
Texas 18	John Marvin Jones	Democratic	1916	Re-elected	John Marvin Jones (D) Unopposed
Texas 19	Joseph W. Bailey, Jr. Redistricted from At-large	Democratic	1932	Retired to run for U.S. Senate Democratic hold	George H. Mahon (D) Unopposed
Texas 20	Sterling P. Strong Redistricted from At-large	Democratic	1932	Lost renomination Democratic hold	Maury Maverick (D) Unopposed
