Date	Opponents	H / A	Result F–A	Attendance	League position
13 August 2005	Everton	A	2–0	38,610	4th
20 August 2005	Aston Villa	H	1–0	67,934	4th
28 August 2005	Newcastle United	A	2–0	52,327	4th
10 September 2005	Manchester City	H	1–1	67,839	4th
18 September 2005	Liverpool	A	0–0	44,917	3rd
24 September 2005	Blackburn Rovers	H	1–2	67,765	6th
1 October 2005	Fulham	A	3–2	21,862	4th
15 October 2005	Sunderland	A	3–1	39,085	3rd
22 October 2005	Tottenham Hotspur	H	1–1	67,856	5th
29 October 2005	Middlesbrough	A	1–4	30,579	7th
6 November 2005	Chelsea	H	1–0	67,864	4th
19 November 2005	Charlton Athletic	A	3–1	26,730	3rd
27 November 2005	West Ham United	A	2–1	34,755	2nd
3 December 2005	Portsmouth	H	3–0	67,684	2nd
11 December 2005	Everton	H	1–1	67,831	3rd
14 December 2005	Wigan Athletic	H	4–0	67,793	2nd
17 December 2005	Aston Villa	A	2–0	37,128	2nd
26 December 2005	West Bromwich Albion	H	3–0	67,972	2nd
28 December 2005	Birmingham City	A	2–2	28,459	2nd
31 December 2005	Bolton Wanderers	H	4–1	67,858	2nd
3 January 2006	Arsenal	A	0–0	38,313	2nd
14 January 2006	Manchester City	A	1–3	47,192	2nd
22 January 2006	Liverpool	H	1–0	67,874	2nd
1 February 2006	Blackburn Rovers	A	3–4	25,484	2nd
4 February 2006	Fulham	H	4–2	67,844	2nd
11 February 2006	Portsmouth	A	3–1	20,206	2nd
6 March 2006	Wigan Athletic	A	2–1	23,524	2nd
12 March 2006	Newcastle United	H	2–0	67,858	2nd
18 March 2006	West Bromwich Albion	A	2–1	27,623	2nd
26 March 2006	Birmingham City	H	3–0	69,070	2nd
29 March 2006	West Ham United	H	1–0	69,522	2nd
1 April 2006	Bolton Wanderers	A	2–1	27,718	2nd
9 April 2006	Arsenal	H	2–0	70,908	2nd
14 April 2006	Sunderland	H	0–0	72,519	2nd
17 April 2006	Tottenham Hotspur	A	2–1	36,141	2nd
29 April 2006	Chelsea	A	0–3	42,219	2nd
1 May 2006	Middlesbrough	H	0–0	69,531	2nd
7 May 2006	Charlton Athletic	H	4–0	73,006	2nd
