Date	Time	Score	Set 1	Set 2	Set 3	Total	Report
July 07	10:00	0–3	19–25	17–25	12–25	48–75	P2 P3
July 07	15:00	3–0	27–25	25–16	25–17	77–58	P2 P3
July 07	18:30	1–3	23–25	16–25	25–22	81–97	P2 P3
July 08	10:00	3–2	25–20	21–25	17–25	103–97	P2 P3
July 08	16:00	3–2	20–25	17–25	25–22	108–112	P2 P3
July 08	18:30	0–3	20–25	19–25	16–25	55–75	P2 P3
July 09	10:00	3–2	24–26	25–19	25–16	110–98	P2 P3
July 09	16:00	3–2	23–25	25–17	21–25	109–103	P2 P3
July 09	18:30	3–0	25–22	25–16	25–13	75–51	P2 P3
July 10	10:00	1–3	22–25	25–21	18–25	94–102	P2 P3
July 10	16:00	3–2	20–25	25–20	25–12	103–100	P2 P3
July 10	18:30	0–3	19–25	22–25	20–25	61–75	P2 P3
July 11	10:00	3–2	17–25	25–14	27–29	113–102	P2 P3
July 11	16:00	3–1	20–25	25–19	25–18	97–87	P2 P3
July 11	18:30	3–0	25–15	25–16	25–14	75–45	P2 P3
