Entered office as Head of State or Government	Began time as senior G8 leader	Ended time as senior G8 leader	Person	Office
16 October 1964	15 November 1975	5 April 1976	Harold Wilson	Prime Minister of the United Kingdom
16 May 1974	5 April 1976	27 June 1976	Helmut Schmidt	Chancellor of West Germany
20 April 1968	27 June 1976	4 June 1979	Pierre Trudeau	Prime Minister of Canada
16 May 1974	4 June 1979	1 October 1982	Helmut Schmidt	Chancellor of West Germany
4 May 1979	1 October 1982	28 November 1990	Margaret Thatcher	Prime Minister of the United Kingdom
10 May 1981	28 November 1990	17 May 1995	François Mitterrand	President of France
1 October 1982	17 May 1995	27 October 1998	Helmut Kohl	Chancellor of Germany
10 July 1991	27 October 1998	31 December 1999	Boris Yeltsin	President of Russia
20 January 1993	31 December 1999	20 January 2001	Bill Clinton	President of the United States
4 November 1993	20 January 2001	12 December 2003	Jean Chrétien	Prime Minister of Canada
17 May 1995	12 December 2003	16 May 2007	Jacques Chirac	President of France
2 May 1997	16 May 2007	27 June 2007	Tony Blair	Prime Minister of the United Kingdom
31 December 1999	27 June 2007	7 May 2008	Vladimir Putin	President of Russia
20 January 2001	7 May 2008	20 January 2009	George W. Bush	President of the United States
10 May 1994	20 January 2009	16 November 2011	Silvio Berlusconi	Prime Minister of Italy
22 November 2005	16 November 2011	7 May 2012	Angela Merkel	Chancellor of Germany
