Season	Final Venue	Champion	Result	Finalist	MVP
1995-96	Casalecchio	Virtus Bologna	90-72	Pallacanestro Treviso	Orlando Woolridge
1996-97	Assago	Scaligera Verona	79-72	Olimpia Milano	Giacomo Galanda
1997-98	Treviso	Pallacanestro Treviso	78-58	Virtus Bologna	Denis Marconato
1998-99	Bologna	Fortitudo Bologna	66-59	Virtus Bologna	Alessandro Abbio
1999-00	Varese	Pallacanestro Varese	68-61	Virtus Bologna	Andrea Meneghin
2000-01	Siena	Pallacanestro Virtus Roma	82-78	Virtus Bologna	Jerome Allen
2001-02	Genoa	Pallacanestro Treviso (2)	88-71	Victoria Libertas Pesaro	Tyus Edney
2002-03	Genoa	Pallacanestro Treviso (3)	100-72	Virtus Bologna	Tyus Edney (2)
2003-04	Treviso	Pallacanestro Cantù	85-79	Pallacanestro Treviso	Nate Johnson
2004-05	Siena	Mens Sana Basket	85-77	Pallacanestro Treviso	David Vanterpool
2005-06	Bologna	Fortitudo Bologna (2)	84-75	Pallacanestro Treviso	Marco Belinelli
2006-07	Treviso	Pallacanestro Treviso (4)	76-73	Basket Napoli	Marcus Goree
2007-08	Siena	Mens Sana Basket (2)	96-50	Pallacanestro Treviso	Shaun Stonerook
2008-09	Siena	Mens Sana Basket (3)	108-72	S.S. Felice Scandone	Terrell McIntyre
2009-10	Siena	Mens Sana Basket (4)	87-65	Virtus Bologna	Romain Sato
2010-11	Siena	Mens Sana Basket (5)	82-64	Virtus Bologna	Bo McCalebb
2011-12	Forli	Mens Sana Basket (6)	73-70	Pallacanestro Cantù	Kšyštof Lavrinovič
2012-13	Rimini	Pallacanestro Cantù (2)	80-73	Mens Sana Basket	Manuchar Mark'oishvili
