Player	No.	Nationality	Position	Years in Toronto	School/Club Team
José Calderón	8	Spain	Guard	2005-2013	TAU Cerámica (Spain)
Marcus Camby	21	United States	Center	1996-98	Massachusetts
Anthony Carter	25	United States	Guard	2011-12	Hawaii
Vince Carter	15	United States	Guard-Forward	1998-2004	North Carolina
Chris Childs	1	United States	Guard	2001-02	Boise State
Doug Christie	13	United States	Forward	1996-2000	Pepperdine
Keon Clark	7	United States	Forward-Center	2001-02	UNLV
Omar Cook	1	United States	Guard	2005-06	St. John's
Tyrone Corbin	23	United States	Guard-Forward	2000-01	DePaul
William Cunningham	54	United States	Center	1999	Temple
Earl Cureton	35	United States	Forward	1996-97	Detroit
Dell Curry	30	United States	Guard	1999-2002	Virginia Tech
