Game	Date	Opponent	Score	Location	Record
44	Fri. Feb. 1	@ Charlotte Hornets	91-92	Charlotte Coliseum	32-12
45	Sun. Feb. 3	Washington Bullets	119-101	Boston Garden	33-12
46	Wed. Feb. 6	Charlotte Hornets	133-117	Boston Garden	34-12
47	Thu. Feb. 7	@ New York Knicks	117-101	Madison Square Garden	35-12
48	Tue. Feb. 12	@ Seattle SuperSonics	114-111	Seattle Center Coliseum	36-12
49	Thu. Feb. 14	@ Golden State Warriors	128-112	Oakland Coliseum	37-12
50	Fri. Feb. 15	@ Los Angeles Lakers	98-85	The Forum	38-12
51	Sun. Feb. 17	@ Denver Nuggets	126-108	McNichols Sports Arena	39-12
52	Tue. Feb. 19	@ Phoenix Suns	105-109	Arizona Veterans Memorial Coliseum	39-13
53	Fri. Feb. 22	New Jersey Nets	111-99	Hartford Civic Center	40-13
54	Sun. Feb. 24	@ Indiana Pacers	109-115	Market Square Arena	40-14
55	Tue. Feb. 26	@ Chicago Bulls	99-129	Chicago Stadium	40-15
56	Wed. Feb. 27	Minnesota Timberwolves	116-111	Boston Garden	41-15
