Country	Film title used in nomination	Language	Original name	Director
Brazil	The Lyre of Delight	Portuguese	A Lira do Delírio	Walter Lima, Jr.
Cuba	Viva el Presidente	Spanish	El Recurso del método	Miguel Littín
Czechoslovakia	Nick Carter in Prague	Czech	Adéla ještě nevečeřela	Oldřich Lipský
Denmark	Me and Charly	Danish	Mig og Charly	Morten Arnfred and Henning Kristiansen
France	Get Out Your Handkerchiefs	French	Préparez vos mouchoirs	Bertrand Blier
West Germany	The Glass Cell	German	Die Gläserne Zelle	Hans W. Geißendörfer
Hungary	Hungarians	Hungarian	Magyarok	Zoltán Fábri
India	The Chess Players	Hindi, Urdu	Shatranj Ke Khilari शतरंज के खिलाड़ी	Satyajit Ray
Israel	Lemon Popsicle	Hebrew	אסקימו לימון	Boaz Davidson
Italy	Viva Italia!	Italian	I Nuovi mostri	Dino Risi , Ettore Scola and Mario Monicelli
Japan	Empire of Passion	Japanese	愛の亡霊	Nagisa Oshima
Kuwait	The Wedding of Zein	Arabic	عرس الزين	Khalid Al Siddiq
Lebanon	Promise of Love	Armenian	Սիրո Խոստումը	Sarky Mouradian
Mexico	The Place Without Limits	Spanish	El Lugar sin límites	Arturo Ripstein
Netherlands	Pastorale 1943	Dutch	Pastorale 1943	Wim Verstappen
Poland	Death of a President	Polish	Smierc prezydenta	Jerzy Kawalerowicz
Soviet Union	White Bim Black Ear	Russian	Белый Бим Черное ухо	Stanislav Rostotsky
Yugoslavia	Occupation in 26 Pictures	Croatian, Italian	Okupacija u 26 slika	Lordan Zafranović
Spain	Somnambulists	Spanish	Sonámbulos	Manuel Gutiérrez Aragón
