Year	Competition	Venue	Position	Event
2006	World Cross Country Championships	Fukuoka , Japan	10th	Individual junior race
2006	World Cross Country Championships	Fukuoka , Japan	3rd	Team junior race
2006	African Championships in Athletics	Bambous , Mauritius	5th	10,000 m
2006	World Road Running Championships	Debrecen , Hungary	7th	Individual 20km
2006	World Road Running Championships	Debrecen , Hungary	3rd	Team 20km
2007	World Cross Country Championships	Mombasa , Kenya	7th	Individual
2007	All-Africa Games	Algiers , Algeria	2nd	10,000 m
2007	World Championships in Athletics	Osaka , Japan	13th	10,000 m
2009	World Cross Country Championships	Amman , Jordan	17th	Individual
2013	World Championships	Moscow , Russia	3rd	Marathon
