Competition	Round	Opponent	Result	Score	Home/Away	Venue	Attendance	Date
Super League XIV	17 †	Wigan Warriors	Win	6-12	Away	JJB Stadium	14,377	08/02/2009
Super League XIV	1	Leeds Rhinos	Loss	18-4	Away	Headingley Stadium	15,643	13/02/2009
Super League XIV	2	Salford City Reds	Win	29-10	Home	Belle Vue	6,578	22/02/2009
Super League XIV	3	Warrington Wolves	Win	48-22	Home	Belle Vue	5,169	27/02/2009
Super League XIV	4	Hull Kingston Rovers	Loss	31-18	Away	New Craven Park	9,038	08/03/2009
Super League XIV	5	Catalans Dragons	Win	30-10	Home	Belle Vue	4,807	15/03/2009
Super League XIV	6 ‡	Crusaders	N/A	P-P	Away	Brewery Field	N/A	22/03/2009
Super League XIV	7	St. Helens	Loss	18-42	Home	Belle Vue	6,038	27/03/2009
Challenge Cup 2009	4	Leigh Centurions	Win	54-0	Home	Belle Vue	2,637	03/04/2009
Super League XIV	8	Castleford Tigers	Win	6-35	Away	The Jungle	10,155	10/04/2009
Super League XIV	9	Bradford Bulls	Win	24-22	Home	Belle Vue	6,516	13/04/2009
Super League XIV	10	Hull	Win	14-21	Away	KC Stadium	11,975	17/04/2009
Super League XIV	11	Wigan Warriors	Loss	26-40	Home	Belle Vue	5,521	26/04/2009
Super League XIV	12	Bradford Bulls	Loss	16-32	Neutral	Murrayfield Stadium	29,627	02/05/2009
Challenge Cup 2009	5	Wigan Warriors	Loss	17-28	Home	Belle Vue	4,883	09/05/2009
Super League XIV	13	Harlequins RL	Loss	24-17	Away	The Twickenham Stoop	3,612	17/05/2009
Super League XIV	14	Huddersfield Giants	Loss	6-54	Home	Belle Vue	5,037	24/05/2009
Super League XIV	6	Celtic Crusaders	Win	6-50	Away	Brewery Field	2,089	30/05/2009
Super League XIV	15	Bradford Bulls	Loss	36-22	Away	Grattan Stadium	8,387	07/06/2009
Super League XIV	16	Hull FC	Win	37-22	Home	Belle Vue	4,721	13/06/2009
Super League XIV	18	Harlequins RL	Win	20-18	Home	Belle Vue	5,079	28/06/2009
Super League XIV	19	Huddersfield Giants	Loss	30-14	Away	Galpharm Stadium	7,486	05/07/2009
Super League XIV	20	Leeds Rhinos	Loss	30-32	Home	Belle Vue	6,425	10/07/2009
Super League XIV	21	St Helens	Win	20-22	Away	GPW Recruitment Stadium	8,651	17/07/2009
Super League XIV	22	Castleford Tigers	Loss	12-20	Home	Belle Vue	8,371	26/07/2009
Super League XIV	23	Salford City Reds	Win	24-30	Away	The Willows	3,151	31/07/2009
Super League XIV	24	Celtic Crusaders	Win	46-12	Home	Belle Vue	7,893	16/08/2009
Super League XIV	25	Warrington Wolves	Win	28-40	Away	Halliwell Jones Stadium	8,681	23/08/2009
Super League XIV	26	Catalans Dragons	Win	20-34	Away	Stade Gilbert Brutus	8,755	05/09/2009
Super League XIV	27	Hull Kingston Rovers	Win	24-10	Home	Belle Vue	6,328	13/09/2009
