Round	Pick	Player	Position	School
1	9	Gerald Riggs	Running Back	Arizona State
2	36	Doug Rogers	Defensive End	Stanford
3	63	Stacey Bailey	Wide Receiver	San Jose State
4	95	Reggie Brown	Running Back	Oregon
5	122	Von Mansfield	Defensive Back	Wisconsin
6	149	Mike Kelley	Quarterback	Georgia Tech
7	176	David Toloumu	Running Back	Hawaii
8	203	Ricky Eberhardt	Defensive Back	Morris Brown
9	235	Mike Horan	Punter	Long Beach State
10	262	Curtis Stowers	Linebacker	Mississippi State
11	288	Jeff Keller	Wide Receiver	Washington State
12	315	Dave Levenick	Linebacker	Wisconsin
