Round	Pick	Player	Position	Nationality	Team	College
T	–	Bill Mlkvy Category:Articles with hCards	F	United States	Philadelphia Warriors	Temple
1	1	Mark Workman Category:Articles with hCards	F/C	United States	Milwaukee Hawks	West Virginia
1	2	Jim Baechtold Category:Articles with hCards	G/F	United States	Baltimore Bullets	Eastern Kentucky
1	3	Dick Groat Category:Articles with hCards	G	United States	Fort Wayne Pistons	Duke
1	4	Joe Dean Category:Articles with hCards #	G	United States	Indianapolis Olympians	LSU
1	5	Ralph Polson Category:Articles with hCards	F/C	United States	New York Knicks	Whitworth
1	6	Bill Stauffer Category:Articles with hCards #	F	United States	Boston Celtics	Missouri
1	7	Bob Lochmueller Category:Articles with hCards	F	United States	Syracuse Nationals	Louisville
1	8	Chuck Darling Category:Articles with hCards #	F/C	United States	Rochester Royals	Iowa
1	9	Clyde Lovellette Category:Articles with hCards ^	F/C	United States	Minneapolis Lakers	Kansas
2	10	Eddie Miller Category:Articles with hCards	F/C	United States	Milwaukee Hawks	Syracuse
2	12	Don Meineke Category:Articles with hCards	F/C	United States	Fort Wayne Pistons	Dayton
2	13	Walt Davis Category:Articles with hCards	F/C	United States	Philadelphia Warriors	Texas A&M
2	14	Bob Zawoluk Category:Articles with hCards	F/C	United States	Indianapolis Olympians	St. John's
2	16	Jim Iverson Category:Articles with hCards #	G	United States	Boston Celtics	Kansas State
