Date	Venue	Score	Result	Competition
10 September 2008	Maksimir Stadium , Zagreb , Croatia	1–3	1–4	2010 World Cup Qualifying
12 October 2010	Maksimir Stadium, Zagreb, Croatia	1–1	2–1	Friendly
3 June 2011	Poljud Stadium , Split , Croatia	1–1	2–1	Euro 2012 Qualifying
11 October 2011	Stadion Kantrida , Rijeka , Croatia	2–0	2–0	Euro 2012 Qualifying
11 November 2011	Türk Telekom Arena , Istanbul , Turkey	0–2	0–3	Euro 2012 Qualifying
10 June 2012	Municipal Stadium , Poznań , Poland	0–1	1–3	UEFA Euro 2012
10 June 2012	Municipal Stadium , Poznań , Poland	1–3	1–3	UEFA Euro 2012
14 June 2012	Municipal Stadium, Poznań, Poland	1–1	1–1	UEFA Euro 2012
16 October 2012	Stadion Gradski vrt , Osijek , Croatia	1–0	2–0	2014 World Cup qualifying
6 February 2013	Craven Cottage , London , England	0–1	0–4	Friendly
22 March 2013	Stadion Maksimir , Zagreb , Croatia	1–0	2–0	2014 World Cup qualifying
6 September 2013	Stadion Crvena Zvezda , Belgrade , Serbia	0–1	1–1	2014 World Cup qualifying
