Year	English title	Original title	Country	Director
2000	Crouching Tiger, Hidden Dragon	臥虎藏龍 / Wo hu cang long	Taiwan	Ang Lee
2000	Love's a Bitch	Amores perros	Mexico	Alejandro González Iñárritu
2000	Malèna	Malèna	Italy	Giuseppe Tornatore
2000	One Hundred Steps	I cento passi	Italy	Marco Tullio Giordana
2000	The Widow of Saint-Pierre	La veuve de Saint-Pierre	France	Patrice Leconte
2001	No Man's Land	No Man's Land	Bosnia and Herzegovina	Danis Tanović
2001	Amélie	Le fabuleux destin d'Amélie Poulain	France	Jean-Pierre Jeunet
2001	And Your Mother Too	Y tu mamá también	Mexico	Alfonso Cuarón
2001	Behind the Sun	Abril despedaçado	Brazil	Walter Salles
2001	Monsoon Wedding	Monsoon Wedding	India	Mira Nair
2002	Talk to Her	Hable con ella	Spain	Pedro Almodóvar
2002	City of God	Cidade de Deus	Brazil	Fernando Meirelles
2002	Balzac and the Little Chinese Seamstress	Balzac et la petite tailleuse chinoise	France	Dai Sijie
2002	The Crime of Father Amaro	El crimen del padre Amaro	Mexico	Carlos Carrera
2002	Hero	英雄 / Ying xiong	China	Zhang Yimou
2002	Nowhere in Africa	Nirgendwo in Afrika	Germany	Caroline Link
2003	Osama	أسامة	Afghanistan	Siddiq Barmak
2003	The Barbarian Invasions	Les invasions barbares	Canada	Denys Arcand
2003	Good Bye Lenin!	Good Bye Lenin!	Germany	Wolfgang Becker
2003	Monsieur Ibrahim	Monsieur Ibrahim et les fleurs du Coran	France	François Dupeyron
2003	The Return	Возвращение / Vozvrashcheniye	Russia	Andrei Zvyagintsev
2004	The Sea Inside	Mar adentro	France/Italy/Spain	Alejandro Amenábar
2004	The Motorcycle Diaries	Diários de Motocicleta	Brazil	Walter Salles
2004	The Chorus	Les choristes	France	Christophe Barratier
2004	House of Flying Daggers	十面埋伏 / Shi mian mai fu	Hong Kong	Zhang Yimou
2004	A Very Long Engagement	Un long dimanche de fiançailles	France	Jean-Pierre Jeunet
2005	Paradise Now	الجنّة الآن / Al Jannah al-Aan	Palestine	Hany Abu-Assad
2005	Kung Fu Hustle	功夫 / Kung fu	China	Stephen Chow
2005	Merry Christmas	Joyeux Noël	France	Christian Carion
2005	The Promise	無極 / Wu ji	China	Chen Kaige
2005	Tsotsi	Tsotsi	South Africa	Gavin Hood
2006	Letters from Iwo Jima	Letters from Iwo Jima	Japan/USA	Clint Eastwood
2006	Apocalypto	Apocalypto	USA	Mel Gibson
2006	The Lives of Others	Das Leben der Anderen	Germany	Florian Henckel von Donnersmarck
2006	Pan's Labyrinth	El laberinto del fauno	Mexico/Spain/USA	Guillermo del Toro
2006	To Return	Volver	Spain	Pedro Almodóvar
2007	The Diving Bell and the Butterfly	Le scaphandre et le papillon	France/USA	Julian Schnabel
2007	4 Months, 3 Weeks and 2 Days	4 luni, 3 săptămâni şi 2 zile	Romania	Cristian Mungiu
2007	The Kite Runner	The Kite Runner	USA	Marc Forster
2007	Lust, Caution	色, 戒 / Se, jie	Taiwan/USA/China	Ang Lee
2007	Persepolis	Persepolis	France	Vincent Paronnaud and Marjane Satrapi
2008	Waltz with Bashir	ואלס עם באשיר / Vals Im Bashir	Israel	Ari Folman
2008	The Baader Meinhof Complex	Der Baader Meinhof Komplex	Germany	Uli Edel
2008	Everlasting Moments	Maria Larssons eviga ögonblick	Sweden	Jan Troell
2008	Gomorrah	Gomorra	Italy	Matteo Garrone
2008	I've Loved You So Long	Il y a longtemps que je t'aime	France	Philippe Claudel
2009	The White Ribbon	Das weiße Band	Austria	Michael Haneke
2009	Baarìa – La porta del vento	Baarìa – La porta del vento	Italy	Giuseppe Tornatore
2009	Broken Embraces	Los abrazos rotos	Spain	Pedro Almodóvar
2009	The Maid	La Nana	Chile	Sebastián Silva
2009	A Prophet	Un prophète	France	Jacques Audiard
