Place	Player	Country	Score	To par
1	Gil Morgan	United States	66-69-77=212	-4
T2	Mark Brooks	United States	70-74-69=213	-3
T2	Tom Kite	United States	71-72-70=213	-3
T2	Ian Woosnam	Wales	72-72-69=213	-3
T5	Nick Faldo	England	70-76-68=214	-2
T5	Gary Hallberg	United States	71-70-73=214	-2
T5	Joey Sindelar	United States	74-72-68=214	-2
T8	Tom Lehman	United States	69-74-72=215	-1
T8	Mark McNulty	Zimbabwe	74-72-69=215	-1
T8	Scott Simpson	United States	76-71-68=215	-1
T8	Craig Stadler	United States	71-72-72=215	-1
T8	Payne Stewart	United States	73-70-72=215	-1
