Competition	Place	Year	Horse	Rank
World Championship	Haag	1994	Cyna	5.
European Championship	Rome	1995	Cyna	4.
European Championship	Burghley	1997	Cyna	stopped in second event
World Championship	Rooma	1998	Uppercut	9.
European Championship	Luhmühlen	1999	Uppercut	4.
Olympics	Sydney	2000	Uppercut	disqualification in second event
European Championship	Pau	2001	Ypäjä Karuso	17.
World Championship	Jerez	2002	Ypäjä Karuso	3.
Badminton Horse Trials	Gloucestershire, England	2003	Ypäjä Karuso	2.
European Championship	Blenheim	2005	Ypäjä Karuso	6.
World Cup Final	Malmö	2005	Ypäjä Karuso	3.
World Championship	Aachen	2006	Ypäjä Karuso	stopped in second event
Finland Championship	Kerava , Finland	2007	Ypäjä Karuso	1.
