Province	Total	Hindu	% Hindu 2010	% Hindu 2000
Indonesia	237,641,326	4,012,116	1.69%	1.79%
Aceh	4,494,410	136	0.00%	0.01%
Sumatera Utara	12,982,204	14,644	0.11%	0.17%
Sumatera Barat	4,846,909	234	0.00%	0.00%
Riau	5,538,367	1,076	0.02%	0.09%
Jambi	3,092,265	582	0.02%	0.02%
Sumatera Selatan	7,450,394	39,206	0.53%	0.26%
Bengkulu	1,715,518	3,727	0.22%	0.15%
Lampung	7,608,405	113,512	1.49%	1.44%
Kep. Bangka Belitung	1,223,296	1,040	0.09%	0.01%
Kepulauan Riau	1,679,163	1,541	0.09%	0.37%
DKI Jakarta	9,607,787	20,364	0.21%	0.23%
Jawa Barat	43,053,732	19,481	0.05%	0.02%
Jawa Tengah	32,382,657	17,448	0.05%	0.09%
DI Yogyakarta	3,457,491	5,257	0.15%	0.09%
Jawa Timur	37,476,757	112,177	0.30%	0.27%
Banten	10,632,166	8,189	0.08%	0.07%
Bali	3,890,757	3,247,283	83.46%	88.05%
Nusa Tenggara Barat	4,500,212	118,083	2.62%	3.03%
Nusa Tenggara Timur	4,683,827	5,210	0.11%	0.15%
Kalimantan Barat	4,395,983	2,708	0.06%	0.08%
Kalimantan Tengah	2,212,089	11,149	0.50%	5.89%
Kalimantan Selatan	3,626,616	16,064	0.44%	0.21%
Kalimantan Timur	3,553,143	7,657	0.22%	0.13%
Sulawesi Utara	2,270,596	13,133	0.58%	0.56%
Sulawesi Tengah	2,635,009	99,579	3.78%	4.84%
Sulawesi Selatan	8,034,776	58,393	0.73%	1.13%
Sulawesi Tenggara	2,232,586	45,441	2.04%	2.97%
Gorontalo	1,040,164	3,612	0.35%	0.00%
Sulawesi Barat	1,158,651	16,042	1.38%	1.88%
Maluku	1,533,506	5,669	0.37%	NA
Maluku Utara	1,038,087	200	0.02%	0.02%
Papua Barat	760,422	859	0.11%	0.68%
Papua	2,833,381	2,420	0.09%	0.16%
