Dance	Best dancer	Best score	Worst dancer	Worst score
Cha-cha-cha	Emmitt Smith	30	Tucker Carlson	12
Foxtrot	Mario Lopez Joey Lawrence	29	Sara Evans	15
Mambo	Emmitt Smith	30	Sara Evans	21
Quickstep	Joey Lawrence	29	Jerry Springer	19
Jive	Monique Coleman Mario Lopez	27	Joey Lawrence Willa Ford	22
Tango	Mario Lopez	30	Emmitt Smith	19
Waltz	Emmitt Smith	29	Jerry Springer	22
Rumba	Joey Lawrence	30	Joey Lawrence	24
Paso Doble	Mario Lopez	30	Jerry Springer	18
Samba	Emmitt Smith	30	Monique Coleman	23
Freestyle	Mario Lopez	30	Emmitt Smith	29
