Restaurant Name	Original Name	Location	Chef	Designer	Still Open?
Aftermath Cafe	N/A	N/A	Lynn Crawford	Robin De Groot	No
Bravi Restaurant	N/A	N/A	Massimo Capra	Glen Peloso	Yes
College Street Bar	N/A	Toronto,ON	David Adjey	Robin De Groot	Yes
First Class Delites	N/A	N/A	Lynn Crawford	Cherie Stinson	Yes
High Point Restaurant	N/A	Mississauga, ON	David Adjey	Meredith Heron	No
Higher Groundz Cafe	N/A	Mississauga, ON	Brad Long	Glen Peloso	No
Innocenti Restaurant	N/A	Toronto, ON	Lynn Crawford	Meredith Heron	No
Monkey Bar and Grill	N/A	Toronto, ON	Lynn Crawford	Glen Peloso	Yes
Montana Roadhouse	N/A	N/A	David Adjey	Lisa North	No
Old York Bar and Grill	N/A	N/A	Massimo Capri	Cherie Stinson	Yes
Ossawippi Express Dining Cars	N/A	Orillia, ON	David Adjey	Robin De Groot	No
The Empress Restaurant	N/A	N/A	Brad Long	Lisa North	Yes
The Town Grill	N/A	Toronto, ON	Jason Rosso	Cherie Stinson	No
