Rank	Title	Studio	Director	Worldwide Gross
1.	Titanic	Paramount / 20th Century Fox	James Cameron	$1,843,201,268
2.	The Lost World: Jurassic Park	Universal	Steven Spielberg	$618,638,999
3.	Men in Black	Columbia / Amblin	Barry Sonnenfeld	$589,390,539
4.	Tomorrow Never Dies	United Artists	Roger Spottiswoode	$333,011,068
5.	Air Force One	Columbia	Wolfgang Petersen	$315,156,409
6.	As Good as It Gets	TriStar / Gracie	James L. Brooks	$314,178,011
7.	Liar Liar	Universal	Tom Shadyac	$302,710,615
8.	My Best Friend's Wedding	TriStar	P.J. Hogan	$299,288,605
9.	The Fifth Element	Columbia / Gaumont	Luc Besson	$263,900,000
10.	The Full Monty	Fox Searchlight	Peter Cattaneo	$257,850,122
11.	Hercules	Disney	Ron Clements and John Musker	$252,712,101
12.	Bean	PolyGram / Gramercy	Mel Smith	$251,212,670
13.	Face/Off	Paramount	John Woo	$245,676,146
14.	Batman & Robin	Warner Bros.	Joel Schumacher	$238,207,122
15.	Good Will Hunting	Miramax	Gus Van Sant	$225,933,435
16.	Con Air	Touchstone	Simon West	$224,012,234
17.	Dante's Peak	Universal Studios	Roger Donaldson	$178,127,760
18.	Flubber	Disney	Les Mayfield	$177,977,226
19.	George of the Jungle	Disney	Sam Weisman	$174,463,257
