Club	Manager	Captain	Manufacturer	Sponsor
Arsenal	Arsène Wenger	Cesc Fàbregas	Nike	Fly Emirates
Aston Villa	Martin O'Neill	Martin Laursen	Nike	Acorns
Blackburn Rovers	Sam Allardyce	Ryan Nelsen	Umbro	Crown Paints
Bolton Wanderers	Gary Megson	Kevin Davies	Reebok	Reebok
Chelsea	Guus Hiddink	John Terry	adidas	Samsung
Everton	David Moyes	Phil Neville	Umbro	Chang
Fulham	Roy Hodgson	Danny Murphy	Nike	LG
Hull City	Phil Brown	Ian Ashbee	Umbro	Karoo (H) / Kingston Communications (A, 3rd)
Liverpool	Rafael Benítez	Steven Gerrard	adidas	Carlsberg
Manchester City	Mark Hughes	Richard Dunne	Le Coq Sportif	Thomas Cook
Manchester United	Sir Alex Ferguson	Gary Neville	Nike	AIG
Middlesbrough	Gareth Southgate	Emmanuel Pogatetz	Erreà	Garmin
Newcastle United	Alan Shearer	Nicky Butt	adidas	Northern Rock
Portsmouth	Paul Hart	David James	Canterbury of New Zealand	Oki
Stoke City	Tony Pulis	Andy Griffin	Le Coq Sportif	Britannia
Sunderland	Ricky Sbragia	Dean Whitehead	Umbro	Boylesports
Tottenham Hotspur	Harry Redknapp	Ledley King	Puma	Mansion.com Casino & Poker
West Bromwich Albion	Tony Mowbray	Jonathan Greening	Umbro	none
West Ham United	Gianfranco Zola	Matthew Upson	Umbro	XL Holidays / SBOBET
Wigan Athletic	Steve Bruce	Mario Melchiot	Champion	JJB Sports
