Date	Visitor	Score	Home	Decision	Attendance	Record
November 3	Washington	1 – 8	Philadelphia	Esche	19,253	7–3–1
November 5	Atlanta	3 – 4	Philadelphia	Esche	19,587	8–3–1
November 8	Boston	3 – 4	Philadelphia	Esche	19,587	9–3–1
November 10	NY Islanders	2 – 3	Philadelphia	Niittymaki	19,601	10–3–1
November 12	Florida	4 – 5	Philadelphia	Esche	19,654	11–3–1
November 14	Philadelphia	2 – 5	Tampa Bay	Esche	20,020	11–4–1
November 16	Pittsburgh	3 – 2	Philadelphia	Niittymaki	19,687	11–4–2
November 18	Atlanta	6 – 5	Philadelphia	Esche	19,533	11–4–3
November 19	Philadelphia	6 – 3	Pittsburgh	Niittymaki	17,132	12–4–3
November 22	Tampa Bay	4 – 2	Philadelphia	Esche	19,567	12–5–3
November 25	Philadelphia	5 – 3	Boston	Niittymaki	17,565	13–5–3
November 26	NY Islanders	4 – 2	Philadelphia	Niittymaki	19,780	13–6–3
November 29	Philadelphia	4 – 2	NY Islanders	Esche	12,354	14–6–3
November 30	New Jersey	1 – 2	Philadelphia	Esche	19,573	15–6–3
