Airing date	English title (Chinese title)	Number of episodes	Genre	Official website
6 Dec 2004- 9 Jan 2005	Kung Fu Soccer 功夫足球	25	Modern drama	Official website
10 Jan- 13 Feb	Wong Fei Hung - Master of Kung Fu 我師傅係黃飛鴻	25	Period action	Official website
14 Feb- 11 Mar	Lost in the Chamber of Love 西廂奇緣	20	Costume drama	Official website
14 Mar- 8 Apr	The Prince's Shadow 御用閒人	20	Costume drama	Official website
11 Apr- 6 May	Scavengers' Paradise 同撈同煲	20	Period drama	Official website
9 May- 3 Jun	Just Love 老婆大人	20	Modern drama	Official website
6 Jun- 1 Jul	The Gâteau Affairs 情迷黑森林	20	Modern drama	Official website
3 Jul- 29 Jul	Fantasy Hotel 開心賓館	20	Modern drama	Official website
1 Aug- 9 Sep	Yummy Yummy (Food For Life)	30	Modern drama	Official website
12 Sep- 14 Oct	Hidden Treasures 翻新大少 (or 鴨寮街的金蛋)	25	Modern drama	Official website
17 Oct- 25 Nov	The Charm Beneath 胭脂水粉	30	Period drama	Official website
28 Nov- 30 Dec	The Herbalist's Manual 本草藥王	25	Costume drama	Official website
