Club	Overall Record	Goals For	Goals For Avg.	Goals Against	Goals Against Avg.
MetroStars	11-12-7	47	1.57 (1st)	49	1.63 (10th)
D.C. United	11-10-9	43	1.43 (2nd)	42	1.40 (6th)
Los Angeles Galaxy	11-9-10	42	1.40 (3rd)	40	1.33 (5th)
New England Revolution	8-13-9	42	1.40 (4th)	43	1.43 (7th)
San Jose Earthquakes	9-10-11	41	1.37 (5th)	35	1.17 (4th)
Columbus Crew	12-5-13	40	1.33 (6th)	32	1.07 (2nd)
Kansas City Wizards	14-9-7	38	1.27 (7th)	30	1.00 (1st)
Chicago Fire	8-13-9	36	1.20 (8th)	44	1.47 (8th)
Dallas Burn	10-14-6	34	1.13 (9th)	45	1.50 (9th)
Colorado Rapids	10-9-11	29	0.97 (10th)	32	1.07 (2nd)
