Driver	Constructor	Laps	Time/Retired	Grid
Michael Schumacher	Ferrari	53	1:27:31.638	1
Mika Häkkinen	McLaren - Mercedes	53	+3.810	3
Ralf Schumacher	Williams - BMW	53	+52.432	7
Jos Verstappen	Arrows - Supertec	53	+59.938	11
Alexander Wurz	Benetton - Playlife	53	+1:07.426	13
Ricardo Zonta	BAR - Honda	53	+1:09.293	17
Mika Salo	Sauber - Petronas	52	+1 Lap	15
Pedro Diniz	Sauber - Petronas	52	+1 Lap	16
Marc Gené	Minardi - Fondmetal	52	+1 Lap	21
Gastón Mazzacane	Minardi - Fondmetal	52	+1 Lap	22
Giancarlo Fisichella	Benetton - Playlife	52	+1 Lap	9
Jean Alesi	Prost - Peugeot	51	+2 Laps	19
Nick Heidfeld	Prost - Peugeot	15	Spun off	20
Jacques Villeneuve	BAR - Honda	14	Electrical	4
Jenson Button	Williams - BMW	10	Accident	12
Johnny Herbert	Jaguar - Cosworth	1	Collision damage	18
Rubens Barrichello	Ferrari	0	Collision	2
David Coulthard	McLaren - Mercedes	0	Collision	5
Jarno Trulli	Jordan - Mugen-Honda	0	Collision	6
Heinz-Harald Frentzen	Jordan - Mugen-Honda	0	Collision	8
Pedro de la Rosa	Arrows - Supertec	0	Collision	10
Eddie Irvine	Jaguar - Cosworth	0	Spun off	14
