Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
60	March 1	@ Golden State	W 112–104 (OT)	Mehmet Okur (23)	Ronnie Brewer , Carlos Boozer (9)	Deron Williams (20)	Oracle Arena 18,347	37–23
61	March 4	Houston	W 101–94 (OT)	Deron Williams (26)	Carlos Boozer (17)	Deron Williams (14)	EnergySolutions Arena 19,911	38–23
62	March 6	Denver	W 97–91 (OT)	Deron Williams (25)	Carlos Boozer (16)	Deron Williams (11)	EnergySolutions Arena 19,911	39–23
63	March 8	@ Toronto	W 109–101 (OT)	Deron Williams (25)	Mehmet Okur , Paul Millsap (11)	Deron Williams (9)	Air Canada Centre 18,541	40–23
64	March 10	@ Indiana	W 112–100 (OT)	Mehmet Okur (24)	Paul Millsap (9)	Deron Williams (12)	Conseco Fieldhouse 13,705	41–23
65	March 11	@ Atlanta	L 93–100 (OT)	Deron Williams (20)	Mehmet Okur (10)	Deron Williams (9)	Philips Arena 13,112	41–24
66	March 14	@ Miami	L 129–140 (3OT)	Deron Williams (30)	Carlos Boozer (13)	Deron Williams (13)	American Airlines Arena 19,600	41–25
67	March 15	@ Orlando	L 87–105 (OT)	Carlos Boozer (23)	Carlos Boozer (13)	Deron Williams (9)	Amway Arena 17,461	41–26
68	March 17	Washington	W 103–88 (OT)	Kyle Korver (15)	Carlos Boozer (15)	Deron Williams (8)	EnergySolutions Arena 19,911	42–26
69	March 20	@ Oklahoma City	W 101–94 (OT)	Deron Williams (24)	Carlos Boozer (10)	Deron Williams (11)	Ford Center 19,136	43–26
70	March 24	Houston	W 99–86 (OT)	Deron Williams (19)	Paul Millsap (9)	Deron Williams (12)	EnergySolutions Arena 19,911	44–26
71	March 25	@ Phoenix	L 114–118 (OT)	Deron Williams (25)	Mehmet Okur , Carlos Boozer (12)	Deron Williams (10)	US Airways Center 18,422	44–27
72	March 28	Phoenix	W 104–99 (OT)	Mehmet Okur (26)	Mehmet Okur (11)	Deron Williams (13)	EnergySolutions Arena 19,911	45–27
73	March 30	New York	W 112–104 (OT)	Deron Williams (24)	Carlos Boozer (11)	Deron Williams (13)	EnergySolutions Arena 19,911	46–27
74	March 31	@ Portland	L 104–125 (OT)	Carlos Boozer (20)	Andrei Kirilenko (7)	Deron Williams (8)	Rose Garden 20,675	46–28
