Date	Visitor	Score	Home	Leading scorer	Attendance	Record
2 November 2007	Knicks	106–110	Cavaliers	Jamal Crawford (25)	20,562	0–1
4 November 2007	Timberwolves	93–97	Knicks	Jamal Crawford (24)	19,763	1–1
6 November 2007	Nuggets	112–119	Knicks	Jamal Crawford (25)	19,763	2–1
9 November 2007	Magic	112–102	Knicks	Zach Randolph (23)	19,763	2–2
11 November 2007	Heat	75–72	Knicks	Eddy Curry (19)	19,763	2–3
13 November 2007	Knicks	102–113	Suns	Jamal Crawford (21)	18,422	2–4
14 November 2007	Knicks	81–84	Clippers	Two-way tie (16)	15,296	2–5
16 November 2007	Knicks	118–123	Kings	Eddy Curry (27)	12,549	2–6
17 November 2007	Knicks	83–115	Nuggets	Zach Randolph (16)	19,679	2–7
20 November 2007	Warriors	108–82	Knicks	Stephon Marbury (18)	19,763	2–8
21 November 2007	Knicks	86–98	Pistons	Eddy Curry (26)	22,076	2–9
24 November 2007	Bulls	78–85	Knicks	Eddy Curry (21)	19,763	3–9
26 November 2007	Jazz	109–113	Knicks	Stephon Marbury (28)	18,816	4–9
29 November 2007	Knicks	59–104	Celtics	Nate Robinson (11)	18,624	4–10
30 November 2007	Bucks	88–91	Knicks	Two-way tie (25)	18,979	5–10
