Round	Player	Position	Team	College
–	Johnny Bach Category:Articles with hCards	G/F	Boston Celtics	Fordham
–	Gene Berce Category:Articles with hCards	G/F	New York Knicks	Marquette
–	Darrell Brown Category:Articles with hCards	F	Baltimore Bullets	Humboldt State
–	Jack Burmaster Category:Articles with hCards	G	St. Louis Bombers	Illinois
–	Jake Carter Category:Articles with hCards	F/C	Baltimore Bullets	East Texas State
–	Jack Coleman Category:Articles with hCards +	F/C	Providence Steamrollers	Louisville
–	Bobby Cook Category:Articles with hCards	G	Fort Wayne Pistons	Wisconsin
–	Hook Dillon Category:Articles with hCards	F	Chicago Stags	North Carolina
–	Arnie Ferrin Category:Articles with hCards	G/F	Minneapolis Lakers	Utah
–	Bill Gabor Category:Articles with hCards +	G/F	Rochester Royals	Syracuse
–	Harry Gallatin Category:Articles with hCards ^	F/C	New York Knicks	Northeast Missouri
–	Earl Gardner Category:Articles with hCards	F	Minneapolis Lakers	DePauw
–	Dee Gibson Category:Articles with hCards	G/F	Minneapolis Lakers	Western Kentucky
–	Alex Hannum Category:Articles with hCards	F/C	Indianapolis Jets	USC
–	Marshall Hawkins Category:Articles with hCards	F	Boston Celtics	Tennessee
–	Joe Holland Category:Articles with hCards	F	Baltimore Bullets	Kentucky
–	Whitey Kachan Category:Articles with hCards	G	Chicago Stags	DePaul
–	Leo Katkaveck Category:Articles with hCards	G	Washington Capitols	NC State
–	Tom Kelly Category:Articles with hCards	G	Boston Celtics	NYU
–	Andy Kostecka Category:Articles with hCards	F	Indianapolis Jets	Georgetown
–	Dan Kraus Category:Articles with hCards	G	Baltimore Bullets	Georgetown
–	Herb Krautblatt Category:Articles with hCards	G	Baltimore Bullets	Rider
–	Leo Kubiak Category:Articles with hCards	G/F	Rochester Royals	Bowling Green
–	Ray Lumpp Category:Articles with hCards	G	Indianapolis Jets	NYU
–	Mel McGaha Category:Articles with hCards	G	New York Knicks	Arkansas
–	Murray Mitchell Category:Articles with hCards	C	Boston Celtics	Sam Houston State
–	Johnny Orr Category:Articles with hCards	F	Minneapolis Lakers	Beloit
–	Easy Parham Category:Articles with hCards	G/F	St. Louis Bombers	Texas Wesleyan
–	Jack Parkinson Category:Articles with hCards	G	Washington Capitols	Kentucky
–	Ed Peterson Category:Articles with hCards	C	New York Knicks	Cornell
–	Roy Pugh Category:Articles with hCards	F/C	Philadelphia Warriors	SMU
–	Tex Ritter Category:Articles with hCards	G	New York Knicks	Eastern Kentucky
–	Kenny Rollins Category:Articles with hCards	G	Fort Wayne Pistons	Kentucky
–	Dick Shrider Category:Articles with hCards	G	New York Knicks	Ohio
–	Odie Spears Category:Articles with hCards	G	Chicago Stags	Western Kentucky
–	Brady Walker Category:Articles with hCards	F/C	Providence Steamrollers	BYU
–	Dick Wehr Category:Articles with hCards	F	Indianapolis Jets	Rice
–	Murray Wier Category:Articles with hCards	G	Fort Wayne Pistons	Iowa
–	D. C. Wilcutt Category:Articles with hCards	G	St. Louis Bombers	Saint Louis
