Game	Date	Opponent	Score	Location	Record
15	Tue. Dec. 2	Washington Bullets	109-117	Hartford Civic Center	10-5
16	Wed. Dec. 3	Denver Nuggets	119-113	Boston Garden	11-5
17	Fri. Dec. 5	Philadelphia 76ers	108-106	Boston Garden	12-5
18	Sat. Dec. 6	@ Cleveland Cavaliers	86-88	Richfield Coliseum	12-6
19	Wed. Dec. 10	New Jersey Nets	108-98	Boston Garden	13-6
20	Fri. Dec. 12	Los Angeles Lakers	110-117	Boston Garden	13-7
21	Sat. Dec. 13	@ Washington Bullets	105-98	Capital Centre	14-7
22	Tue. Dec. 16	@ New York Knicks	107-96	Madison Square Garden	15-7
23	Wed. Dec. 17	Indiana Pacers	113-101	Boston Garden	16-7
24	Fri. Dec. 19	@ Philadelphia 76ers	100-122	The Spectrum	16-8
25	Sat. Dec. 20	@ Milwaukee Bucks	100-120	Milwaukee Arena (MECCA)	16-9
26	Fri. Dec. 26	@ Phoenix Suns	122-112	Arizona Veterans Memorial Coliseum	17-9
27	Sat. Dec. 27	@ Los Angeles Clippers	114-101	L.A. Sports Arena	18-9
28	Mon. Dec. 29	@ Sacramento Kings	119-102	ARCO Arena I	19-9
29	Tue. Dec. 30	@ Seattle SuperSonics	104-102	Seattle Center Coliseum	20-9
