Japanese Title	Romaji Title	TV Station	Episodes	Average Ratings
駅路	Shichinin no Onna Bengoshi Series 2	TV Asahi	11	10.9%
篤姫	Atsu-hime	NHK	50	24.5%
パズル	PUZZLE	TV Asahi	10	10.2%
キミ犯人じゃないよね?	Kimi Hannin Janai yo ne?	TV Asahi	10	8.9%
CHANGE	CHANGE	Fuji TV	10	21.7%
絶対彼氏	Absolute Boyfriend	Fuji TV	11	13.2%
無理な恋愛	Muri na Ren'ai	Fuji TV	11	7.4%
ラスト・フレンズ	Last Friends	Fuji TV	11	17.7%
ハチワンダイバー	Hachi One Diver	Fuji TV	11	8.4%
バッテリー	Battery	NHK	10	7.9%
オトコマエ！	Otokomae!	NHK	13	9.2%
トップセールス	Top Sales	NHK	8	7.1%
監査法人	Kansahojin	NHK	6	7.9%
おせん	Osen	NTV	10	9.1%
ホカベン	Hokaben	NTV	10	8.1%
ごくせん 3	Gokusen 3	NTV	11	22.5%
渡る世間は鬼ばかり 9	Wataru Seken wa Oni Bakari Series 9	TBS	49	15.3%
ルーキーズ	ROOKIES	TBS	11	14.8%
Around40〜注文の多いオンナたち〜	Around40 ~Jumon no Ooi Onnatachi~	TBS	11	14.7%
猟奇的な彼女	Ryoukiteki na Kanojo	TBS	11	8.31%
秘書のカガミ	Hisho no Kagami	TV Tokyo	12	N/A
