Player	Games Played	Minutes	Field Goals	Three Pointers	Free Throws	Rebounds	Assists	Blocks	Steals	Points
Christina Wirth	35	1176	212	80	78	198	74	8	52	582
Hannah Tuomi	28	682	143	0	34	166	27	5	25	320
Merideth Marsh	35	1122	124	81	45	86	62	0	30	374
Jennifer Risper	35	1031	117	0	92	199	99	4	81	326
Jessica Mooney	35	704	88	14	59	79	83	17	50	249
Jence Rhoads	35	1028	84	1	52	81	132	12	42	221
Tia Gibbs	29	372	52	24	19	71	17	3	23	147
Chanel Chisholm	34	387	64	0	43	100	14	8	35	171
Lauren Lueders	24	186	21	14	5	31	26	1	11	61
Jordan Coleman	19	108	10	0	9	32	1	0	2	29
Ashlee Bridge	14	92	4	0	9	16	3	3	2	17
Rebecca Silinski	8	30	3	0	1	5	0	0	1	7
