Race	Pole position	Fastest lap	Most laps led	Winning driver	Winning team	Report
São Paulo	Dario Franchitti	Will Power	Dario Franchitti	Will Power	Team Penske	Report
St. Petersburg	Will Power	E. J. Viso	Will Power	Will Power	Team Penske	Report
Barber	Will Power	Justin Wilson	Marco Andretti	Hélio Castroneves	Team Penske	Report
Long Beach	Will Power	Ryan Hunter-Reay	Ryan Hunter-Reay	Ryan Hunter-Reay	Andretti Autosport	Report
Kansas	Ryan Briscoe	Tony Kanaan	Scott Dixon	Scott Dixon	Chip Ganassi Racing	Report
Indianapolis	Hélio Castroneves	Will Power	Dario Franchitti	Dario Franchitti	Chip Ganassi Racing	Report
Texas	Ryan Briscoe	Ryan Hunter-Reay	Ryan Briscoe	Ryan Briscoe	Team Penske	Report
Iowa	Will Power	Dario Franchitti	Dario Franchitti	Tony Kanaan	Andretti Autosport	Report
Watkins Glen	Will Power	Will Power	Will Power	Will Power	Team Penske	Report
Toronto	Justin Wilson	Will Power	Justin Wilson	Will Power	Team Penske	Report
Edmonton	Will Power	Scott Dixon	Will Power	Scott Dixon	Chip Ganassi Racing	Report
Mid-Ohio	Will Power	Ryan Briscoe	Alex Tagliani	Dario Franchitti	Chip Ganassi Racing	Report
Sonoma	Will Power	J. R. Hildebrand	Will Power	Will Power	Team Penske	Report
Chicagoland	Ryan Briscoe	Scott Dixon	Ryan Briscoe	Dario Franchitti	Chip Ganassi Racing	Report
Kentucky	Ed Carpenter	Ryan Hunter-Reay	Dan Wheldon	Hélio Castroneves	Team Penske	Report
Motegi	Hélio Castroneves	Hélio Castroneves	Hélio Castroneves	Hélio Castroneves	Team Penske	Report
Homestead	Dario Franchitti	Marco Andretti	Dario Franchitti	Scott Dixon	Chip Ganassi Racing	Report
