Game	Date	Opponent	Score	High points	High rebounds	High assists	Location	Record
9	July 3	Charlotte	L 58-75	S. Johnson (17)	McWilliams (11)	S. Johnson (4)	Amway Arena	5-4
10	July 7	Minnesota	L 66-71	Sam (15)	McGhee , Sam (7)	S. Johnson (6)	Amway Arena	5-5
11	July 9	@ Charlotte	W 66-61	Sales (16)	McWilliams , S. Johnson (5)	S. Johnson (4)	Charlotte Coliseum	6-5
12	July 10	Utah	W 62-56	Sales (21)	S. Johnson (8)	S. Johnson (4)	Amway Arena	7-5
13	July 12	Detroit	L 67-76	McWilliams , Congreaves (14)	McWilliams (8)	S. Johnson , Sam (5)	Amway Arena	7-6
14	July 16	Charlotte	L 50-56	Sales (15)	McWilliams (6)	S. Johnson (3)	Amway Arena	7-7
15	July 17	Sacramento	L 70-76	Sales (20)	McWilliams (10)	S. Johnson (9)	Amway Arena	7-8
16	July 19	@ Washington	W 77-52	Sam (20)	S. Johnson (6)	S. Johnson , Sales (6)	MCI Center	8-8
17	July 20	@ New York	L 56-61	McWilliams (13)	S. Johnson (7)	Sam (3)	Madison Square Garden	8-9
18	July 23	@ Phoenix	L 67-73	S. Johnson (22)	Sam (6)	S. Johnson (6)	America West Arena	8-10
19	July 24	@ Sacramento	W 73-64	S. Johnson (31)	McWilliams (10)	S. Johnson (5)	ARCO Arena	9-10
20	July 27	@ Los Angeles	L 60-81	McWilliams (17)	McWilliams (7)	Powell (4)	Staples Center	9-11
