Season	Series	Team	Races	Wins	Poles	F/Laps	Podiums	Points	Position
2006	Formula BMW ADAC	ADAC Berlin-Brandenburg	18	0	0	0	1	73	10th
2006	Formula BMW UK	Carlin Motorsport	2	0	0	0	0	0	26th
2007	Formula BMW ADAC	ADAC Berlin-Brandenburg	18	1	2	3	9	595	3rd
2007	Formula BMW World Final	Mücke Motorsport	1	1	1	0	1	N/A	1st
2008	German Formula Three Championship	HS Technik	4	0	1	1	1	18	11th
2008	German Formula Three Championship	Ombra Racing	4	0	1	1	1	18	11th
2008	Formula BMW Europe	Mücke Motorsport	6	0	0	0	0	0	—†
2009	FIA Formula Two Championship	MotorSport Vision	16	1	1	0	3	39	8th
2010	FIA Formula Two Championship	MotorSport Vision	18	3	2	1	4	142	6th
2011	ADAC GT Masters	Callaway Competition	11	0	0	1	0	0	NC
2011	Porsche Carrera Cup Germany	MRS Team PZ Aschaffenburg	1	0	0	0	0	0	NC
2012	Porsche Carrera Cup Germany	MRS GT-Racing	16	0	1	0	1	112.5	10th
2012	ADAC GT Masters	MRS GT-Racing	7	0	1	0	0	1	43rd
2012	Porsche Supercup	MRS GT-Racing	5	0	0	0	0	41	13th
2012	Dubai 24 Hour	MRS GT-Racing	1	0	0	0	0	N/A	10th
2013	Porsche Carrera Cup Germany	Logiplus MRS-Racing	7	0	0	1	1	55	7th
2013	Blancpain Endurance Series	MRS GT-Racing	1	0	0	0	0	0	NC
