Date	Opponent#	Rank #	Site	Result	Attendance
September 15	Minnesota	3	Ohio Stadium • Columbus, OH	W56-7	86,005
September 29	TCU	3	Ohio Stadium • Columbus, OH	W37-3	87,439
October 6	Washington State	1	Ohio Stadium • Columbus, OH	W27-3	87,425
October 13	at Wisconsin	1	Camp Randall Stadium • Madison, WI	W24-0	77,413
October 20	at Indiana	1	Memorial Stadium • Bloomington, IN	W37-7	53,183
October 27	Northwestern	1	Ohio Stadium • Columbus, OH	W60-0	87,453
November 3	at Illinois	1	Memorial Stadium • Champaign, IL	W30-0	60,707
November 10	Michigan State	1	Ohio Stadium • Columbus, OH	W35-0	87,600
November 17	Iowa	1	Ohio Stadium • Columbus, OH	W55-13	87,447
November 24	at 4 Michigan	1	Michigan Stadium • Ann Arbor, MI	T 10–10	105,223
January 1	vs. 7 USC	4	Rose Bowl • Pasadena, CA ( Rose Bowl )	W42-21	105,267
*Non-conference game. #Rankings from AP Poll .	*Non-conference game. #Rankings from AP Poll .	*Non-conference game. #Rankings from AP Poll .	*Non-conference game. #Rankings from AP Poll .	*Non-conference game. #Rankings from AP Poll .	*Non-conference game. #Rankings from AP Poll .
