Driver	Constructor	Laps	Time/Retired	Grid
Michael Schumacher	Ferrari	67	1:42:00.307	2
Mika Häkkinen	McLaren - Mercedes	67	+13.822	3
David Coulthard	McLaren - Mercedes	66	+1 Lap	1
Rubens Barrichello	Ferrari	66	+1 Lap	4
Giancarlo Fisichella	Benetton - Playlife	66	+1 Lap	7
Pedro de la Rosa	Arrows - Supertec	66	+1 Lap	12
Pedro Diniz	Sauber - Petronas	65	+2 Laps	15
Gastón Mazzacane	Minardi - Fondmetal	65	+2 Laps	21
Jean Alesi	Prost - Peugeot	65	+2 Laps	17
Jenson Button	Williams - BMW	62	Electrical	11
Johnny Herbert	Jaguar - Cosworth	61	Collision	16
Alexander Wurz	Benetton - Playlife	61	Collision	14
Ricardo Zonta	BAR - Honda	51	Spun off	18
Marc Gené	Minardi - Fondmetal	47	Throttle	20
Jacques Villeneuve	BAR - Honda	46	Engine	9
Eddie Irvine	Jaguar - Cosworth	29	Collision	8
Jos Verstappen	Arrows - Supertec	29	Spun off	13
Ralf Schumacher	Williams - BMW	29	Collision	5
Mika Salo	Sauber - Petronas	27	Halfshaft	19
Heinz-Harald Frentzen	Jordan - Mugen-Honda	2	Engine	10
Jarno Trulli	Jordan - Mugen-Honda	0	Collision	6
