Game	Date	Opponent	Score	High points	High rebounds	High assists	Location/Attendance	Record
4	June 1	@ Charlotte	W 89-65	Sales (18)	Dydek (15)	Douglas (5)	Charlotte Bobcats Arena 3,632	3-1
5	June 3	Charlotte	W 89-71	Dydek (17)	McWilliams-Franklin (15)	Sales (5)	Mohegan Sun Arena 7,318	4-1
6	June 7	@ New York	W 75-60	Douglas (17)	McWilliams-Franklin (7)	Sales , Phillips (4)	Madison Square Garden 10,180	5-1
7	June 9	Seattle	W 85-81	Douglas (18)	Dydek (12)	Whalen (9)	Mohegan Sun Arena 7,138	6-1
8	June 13	Washington	W 85-71	Douglas (26)	Douglas (7)	Whalen , Jones (4)	Mohegan Sun Arena 6,339	7-1
9	June 16	@ Phoenix	L 86-91	Douglas (27)	McWilliams-Franklin (17)	Whalen (4)	US Airways Center 6,378	7-2
10	June 17	@ Los Angeles	L 70-82	Jones (16)	Sales , Dydek , Jones (5)	Whalen (5)	STAPLES Center 7,991	7-3
11	June 20	@ Charlotte	W 90-66	Sales (15)	McWilliams-Franklin (9)	Whalen (6)	Charlotte Bobcats Arena 4,243	8-3
12	June 22	Minnesota	W 79-62	Whalen , Dydek (16)	Jones (11)	Sales (4)	Mohegan Sun Arena 6,573	9-3
13	June 23	@ Chicago	W 84-79	Sales (23)	McWilliams-Franklin (14)	Whalen (6)	UIC Pavilion 2,818	10-3
14	June 25	@ Washington	L 80-87	McWilliams-Franklin , Sales , Jones (15)	McWilliams-Franklin (11)	Whalen (6)	MCI Center 7,216	10-4
15	June 27	Houston	W 73-57	Sales (19)	Dydek (13)	Whalen (6)	Mohegan Sun Arena 6,220	11-4
